group_name,triangle_name,panel_name,sub_gamut_name,source_registration,global_label,region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_011_cy,11,gamut_011_cy,cy,0.5,0.0,0.5,0.25,0.4330127018922193,#9cd36e,0.611764705882353,0.8274509803921568,0.43137254901960786,78.9150462873468,-34.99013382693389,44.14872186254153,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,simple,144,2494,1089,145,144,145,1.0,0.65,0.65,6,98.0,0.9765409757734134,1,0.006896551724137931,#12785d,0.07058824,0.47058824,0.3647059,44.682400069769315,-34.11162753443145,6.6094675252267425,44.570211316472125,-34.07538967472902,6.7273676638040145,34.101604589350025,50.81182398384647,0.34730817563591443,0.643855524765861,0.26052630301487295,169.0342533964764,34.74605292712841
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_012_ccycy,12,gamut_012_ccycy,ccycy,0.6,0.0,0.4,0.2,0.34641016151377546,#88d184,0.5333333333333333,0.8196078431372549,0.5176470588235295,77.57843488375325,-37.888046728189686,31.195962138943845,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,simple,92,1772,756,92,92,92,1.0,0.65,0.65,5,98.0,,0,0.0,#107450,0.0627451,0.45490196,0.3137255,43.03192084574044,-36.18550765696635,12.368302621676165,43.20466224752245,-36.19451329173609,12.174783137825047,31.551380878453394,39.380719068673926,0.3556110674675935,0.802969464662892,0.30923176788327295,161.12943560897634,38.2408926953037
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_013_ccy,13,gamut_013_ccy,ccy,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.28867513459481287,#7bcf92,0.4823529411764706,0.8117647058823529,0.5725490196078431,76.6242576233587,-38.596781108295175,22.516384217852845,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,simple,43,1289,581,43,43,43,1.0,0.65,0.65,5,98.0,,0,0.0,#0e724a,0.05490196,0.44705883,0.2901961,42.179305378719064,-36.747318861755446,14.282091120540352,42.10020925615916,-36.86419702951607,14.668003241662587,30.815942108192772,35.463767827873696,0.3195183715478781,0.6365819982817167,0.2508976399780636,158.76105196662218,39.4251641759796
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_014_ccyc,14,gamut_014_ccyc,ccyc,0.75,0.0,0.25,0.125,0.21650635094610965,#6bcda5,0.4196078431372549,0.803921568627451,0.6470588235294118,75.7627364620849,-38.23104893684348,11.116976934990475,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,simple,50,926,406,50,50,50,1.0,0.65,0.65,4,98.0,,0,0.0,#0f7343,0.05882353,0.4509804,0.2627451,42.38617838662894,-38.52868199214859,18.678432260591492,42.28584697220266,-38.68260582514461,18.834925249238847,30.013569043117005,34.22365879097316,0.2955190324598386,0.4207292888277756,0.14060908846153147,154.13622092163837,42.81755677015703
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_015_ccycc,15,gamut_015_ccycc,ccycc,0.8,0.0,0.2,0.1,0.17320508075688773,#61ccb0,0.3803921568627451,0.8,0.6901960784313725,75.36328019947463,-37.63795429928929,4.586277188762633,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,simple,45,1087,471,45,45,45,1.0,0.65,0.65,5,98.0,,0,0.0,#0d713a,0.050980393,0.44313726,0.22745098,41.56133030717621,-40.163264280520224,23.100411654463215,41.645141173189245,-40.07115184385649,23.05669296626717,31.92431318693129,38.622819447016035,0.36301236495203776,0.47613677156401485,0.16671676464623014,150.09409276659494,46.33267547069316
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_016_c,16,gamut_016_c,c,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,simple,63,537,237,63,63,63,1.0,0.65,0.65,3,98.0,,0,0.0,#08732d,0.03137255,0.4509804,0.1764706,42.002607265232385,-43.42510516907178,30.57535054727476,42.031012008742486,-43.378366691449976,30.54732040981266,42.43547619143146,62.06921227375197,0.35193045614161805,0.6881595580921054,0.2867398692725714,144.85085840836132,53.109244205069224
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_017_ccmcc,17,gamut_017_ccmcc,ccmcc,0.8,0.2,0.0,0.2,0.0,#55a5ce,0.3333333333333333,0.6470588235294118,0.807843137254902,64.39915620027084,-12.522958683054753,-28.313954637547667,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,simple,56,1094,495,56,56,56,1.0,0.65,0.65,6,98.0,,0,0.0,#168023,0.08627451,0.5019608,0.13725491,46.62494059502802,-47.817860763488454,40.80777344737944,46.744565199792035,-47.81603025193702,40.6879789761988,46.62828418667741,79.62076454478229,0.32631322484898634,0.40329539019135385,0.19702997928846802,139.52255061167347,62.863520277892604
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_018_ccmc,18,gamut_018_ccmc,ccmc,0.75,0.25,0.0,0.25,0.0,#5c9cca,0.3607843137254902,0.611764705882353,0.792156862745098,61.92440441812144,-7.364048329696504,-29.88546306665585,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,simple,55,962,407,55,55,55,1.0,0.65,0.65,5,98.0,,0,0.0,#178520,0.09019608,0.52156866,0.1254902,48.36014707758483,-49.230081243819974,43.40328889697525,48.358206047703426,-49.252322112867716,43.165363414470036,47.77658880657718,85.48681157671874,0.3660028392610193,0.45737757002212703,0.15229682851764886,138.5992574265793,65.63113884694833
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_019_ccm,19,gamut_019_ccm,ccm,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,#678dc4,0.403921568627451,0.5529411764705883,0.7686274509803922,57.95834963869487,1.909786468417607,-32.625876079859225,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,simple,67,1341,575,67,67,67,1.0,0.65,0.65,6,98.0,,0,0.0,#208d1e,0.1254902,0.5529412,0.11764706,51.20885370761573,-50.89567377737406,47.05617510103542,51.20715994042576,-50.91108376207233,47.07372970322595,49.26559876724359,95.82902278270531,0.059607562869284564,0.3565631580087481,0.14583883839335415,137.2447203203223,69.3156059224197
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_020_ccmcm,20,gamut_020_ccmcm,ccmcm,0.6,0.4,0.0,0.4,0.0,#7082c0,0.4392156862745098,0.5098039215686274,0.7529411764705882,55.29267420281303,9.505154374171154,-34.4733226879592,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,simple,92,1827,826,92,92,92,1.0,0.65,0.65,7,98.0,,0,0.0,#25961d,0.14509805,0.5882353,0.11372549,54.30579057790891,-52.85988535703643,50.17127579161024,54.243041868434965,-52.92991891968694,50.26232810153967,50.22539284594703,105.14314134422527,0.38312563189775684,0.7168329597793099,0.22233889835653858,136.49480047883196,72.87883365228103
