region_i,region_j,deltaE00,deltaE76
gamut_005_myy,gamut_031_cccmcy,33.30403014315681,56.20407850114758
gamut_005_myy,gamut_032_cccmcc,44.09377663971524,86.20631474394604
gamut_005_myy,gamut_033_cccmc,43.91846275541275,85.4514640049661
gamut_005_myy,gamut_034_cccm,44.11233248354988,85.54411331106425
gamut_005_myy,gamut_035_ccm,43.75181608079713,82.13148189248345
gamut_005_myy,gamut_036_cmcmcy,30.731610193050273,52.657450247589395
gamut_005_myy,gamut_037_ccmcm,43.34476784783924,80.3667972105099
gamut_005_myy,gamut_038_cm,43.088155899499895,79.2129221702397
gamut_005_myy,gamut_039_cmcmy,27.691405258307455,46.87170232385183
gamut_005_myy,gamut_040_cmcmm,42.36439231538121,76.21513160234468
gamut_005_myy,gamut_041_cmm,41.888785189069026,73.68517111877803
gamut_005_myy,gamut_042_cmcmym,31.36778483155614,50.02184999289934
gamut_005_myy,gamut_043_cmmm,41.26378207220471,70.88199094444998
gamut_005_myy,gamut_044_mcmmm,41.0499118988127,69.16999094088503
gamut_005_myy,gamut_045_mmcmmm,40.563019465542645,68.06630212226682
gamut_005_myy,gamut_046_m,37.40033726908044,62.71526572364547
gamut_005_myy,gamut_047_cmym,20.9698947637251,35.95676578384255
gamut_005_myy,gamut_048_cmmym,27.76459579188897,42.404579538964455
gamut_005_myy,gamut_049_cmmmym,30.689919109511386,45.98031386321526
gamut_005_myy,gamut_050_mmmymm,28.226401534517986,41.89824167314202
gamut_005_myy,gamut_051_mmmym,26.218571691597536,38.41677101763441
gamut_005_myy,gamut_052_mmmy,21.893225634540745,31.303500021338543
gamut_005_myy,gamut_053_mmy,16.68954244135527,23.547864265219598
gamut_005_myy,gamut_054_cmymym,16.505260971608077,29.11967755208062
gamut_005_myy,gamut_055_mmymy,12.627460758781053,17.682628283442227
gamut_006_cymymy,gamut_007_myyy,15.085770919163473,24.01574889298251
gamut_006_cymymy,gamut_008_ymyyy,16.02520408560592,25.592036152055748
gamut_006_cymymy,gamut_009_yymyyy,17.789824201595845,28.12793809798351
gamut_006_cymymy,gamut_010_y,35.75654001612629,58.57395035445988
gamut_006_cymymy,gamut_011_cymy,7.9637267035585655,9.004018170209052
gamut_006_cymymy,gamut_012_cymyy,9.462195627961544,12.289245621994198
gamut_006_cymymy,gamut_013_cymyyy,10.29000812282298,14.596303980290797
gamut_006_cymymy,gamut_014_yycyyy,26.755064646934123,43.92065348775893
gamut_006_cymymy,gamut_015_ycyyy,26.078883704614586,42.744008830536096
gamut_006_cymymy,gamut_016_cyyy,25.253901257285133,41.1478744286391
gamut_006_cymymy,gamut_017_cyy,25.509842578335665,40.70673859222696
gamut_006_cymymy,gamut_018_cycymy,15.01415323603442,19.359568564741913
gamut_006_cymymy,gamut_019_cycyy,26.39775007276954,40.87869184099121
gamut_006_cymymy,gamut_020_cy,26.97706690474693,39.8343909528128
gamut_006_cymymy,gamut_021_cmycy,15.909885628966094,18.39404110455466
gamut_006_cymymy,gamut_022_ccycy,27.535884797602115,37.68477811016917
gamut_006_cymymy,gamut_023_ccy,27.362501894951485,36.4192574680752
gamut_006_cymymy,gamut_024_cmcycy,20.558378326411425,24.459718753105918
gamut_006_cymymy,gamut_025_cccy,27.919943617774802,36.42168101519409
gamut_006_cymymy,gamut_026_cccyc,28.96396083841157,39.14716049877865
gamut_006_cymymy,gamut_027_cccycc,29.712356972753483,41.21610601465204
gamut_006_cymymy,gamut_028_c,42.9737462361694,77.24318883810261
gamut_006_cymymy,gamut_029_cmcy,19.029981148289195,25.386239737777476
gamut_006_cymymy,gamut_030_ccmcy,24.15084362807027,33.905726536999374
gamut_006_cymymy,gamut_031_cccmcy,27.356142579498606,38.45930274960172
gamut_006_cymymy,gamut_032_cccmcc,42.64396665050592,75.44263153727563
gamut_006_cymymy,gamut_033_cccmc,42.606121340144476,74.9104985659187
gamut_006_cymymy,gamut_034_cccm,42.920443961782034,75.44388825429672
gamut_006_cymymy,gamut_035_ccm,42.48449814786376,72.38596681632932
gamut_006_cymymy,gamut_036_cmcmcy,26.071238471954143,36.9869199719141
gamut_006_cymymy,gamut_037_ccmcm,42.32710265697311,71.11778378790802
gamut_006_cymymy,gamut_038_cm,42.52825246741404,70.93963686862082
gamut_006_cymymy,gamut_039_cmcmy,24.090913197489687,32.35383902276517
gamut_006_cymymy,gamut_040_cmcmm,42.137002581236764,68.7575963886529
gamut_006_cymymy,gamut_041_cmm,41.714520186721955,66.71867102408797
