region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
13,gamut_013_cymyyy,cymyyy,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.5773502691896257,#d4ba3d,0.8313725490196079,0.7294117647058823,0.23921568627450981,75.73297423745863,-4.1077961266143825,63.45735232356311,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,3,3,normal
14,gamut_014_yycyyy,yycyyy,0.16666666666666666,0.0,0.8333333333333334,0.4166666666666667,0.7216878364870322,#dedb24,0.8705882352941177,0.8588235294117647,0.1411764705882353,85.16034716517144,-17.427955674427842,79.78800199563842,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,3,3,normal
15,gamut_015_ycyyy,ycyyy,0.2,0.0,0.8,0.4,0.6928203230275509,#d7da2c,0.8431372549019608,0.8549019607843137,0.17254901960784313,84.3667653359768,-19.647053313897157,76.98686095704784,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,3,3,normal
16,gamut_016_cyyy,cyyy,0.25,0.0,0.75,0.375,0.649519052838329,#cdd937,0.803921568627451,0.8509803921568627,0.21568627450980393,83.38010598564017,-22.911475895264044,72.6579380339764,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,3,3,normal
17,gamut_017_cyy,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.5773502691896257,#bdd749,0.7411764705882353,0.8431372549019608,0.28627450980392155,81.78436408497542,-27.531586792779173,64.35620557265086,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,3,3,normal
18,gamut_018_cycymy,cycymy,0.3333333333333333,0.16666666666666666,0.5,0.41666666666666663,0.4330127018922193,#b3b662,0.7019607843137254,0.7137254901960784,0.3843137254901961,72.17645814367329,-13.274220316406737,42.152709191760195,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,3,3,normal
19,gamut_019_cycyy,cycyy,0.4,0.0,0.6,0.3,0.5196152422706631,#b0d558,0.6901960784313725,0.8352941176470589,0.34509803921568627,80.47282173371678,-30.62907611862564,56.47710040787457,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,3,3,normal
20,gamut_020_cy,cy,0.5,0.0,0.5,0.25,0.4330127018922193,#9cd36e,0.611764705882353,0.8274509803921568,0.43137254901960786,78.9150462873468,-34.99013382693389,44.14872186254153,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,3,3,normal
21,gamut_021_cmycy,cmycy,0.4,0.2,0.4,0.4,0.34641016151377546,#a4ae76,0.6431372549019608,0.6823529411764706,0.4627450980392157,69.09241076219948,-12.83304697417953,27.636342083831565,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,3,3,normal
22,gamut_022_ccycy,ccycy,0.6,0.0,0.4,0.2,0.34641016151377546,#88d184,0.5333333333333333,0.8196078431372549,0.5176470588235295,77.57843488375325,-37.888046728189686,31.195962138943845,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,3,3,normal
23,gamut_023_ccy,ccy,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.28867513459481287,#7bcf92,0.4823529411764706,0.8117647058823529,0.5725490196078431,76.6242576233587,-38.596781108295175,22.516384217852845,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,3,3,normal
24,gamut_024_cmcycy,cmcycy,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.28867513459481287,#92b287,0.5725490196078431,0.6980392156862745,0.5294117647058824,69.25561617474821,-19.115015241899012,18.48142283115446,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,3,3,normal
25,gamut_025_cccy,cccy,0.75,0.0,0.25,0.125,0.21650635094610965,#6bcda5,0.4196078431372549,0.803921568627451,0.6470588235294118,75.7627364620849,-38.23104893684348,11.116976934990475,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,3,3,normal
26,gamut_026_cccyc,cccyc,0.8,0.0,0.2,0.1,0.17320508075688773,#61ccb0,0.3803921568627451,0.8,0.6901960784313725,75.36328019947463,-37.63795429928929,4.586277188762633,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,3,3,normal
27,gamut_027_cccycc,cccycc,0.8333333333333334,0.0,0.16666666666666666,0.08333333333333333,0.14433756729740643,#5acbb7,0.35294117647058826,0.796078431372549,0.7176470588235294,75.01446821612907,-36.965079272670565,0.274980633605737,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,3,3,normal
28,gamut_028_c,c,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,3,3,normal
29,gamut_029_cmcy,cmcy,0.5,0.25,0.25,0.375,0.21650635094610965,#8da293,0.5529411764705883,0.6352941176470588,0.5764705882352941,64.65137812998881,-10.37132273575886,5.326675716887164,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,3,3,normal
30,gamut_030_ccmcy,ccmcy,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#7ca9a2,0.48627450980392156,0.6627450980392157,0.6352941176470588,65.95704015219282,-16.57999436434121,-1.2794829077725334,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,3,3,normal
31,gamut_031_cccmcy,cccmcy,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#71aeab,0.44313725490196076,0.6823529411764706,0.6705882352941176,67.06737349443954,-20.307673331379338,-4.716044806705488,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,3,3,normal
32,gamut_032_cccmcc,cccmcc,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,#50aad0,0.3137254901960784,0.6666666666666666,0.8156862745098039,65.75339645474371,-15.531982761891882,-27.350819335145047,"[[0.18333333333333338, 0.08660254037844385], [0.16666666666666669, 0.09622504486493762], [0.08333333333333334, 0.04811252243246881], [0.08333333333333333, 0.0], [0.18333333333333335, 0.0]]",6,3,3,normal
33,gamut_033_cccmc,cccmc,0.8,0.2,0.0,0.2,0.0,#55a5ce,0.3333333333333333,0.6470588235294118,0.807843137254902,64.39915620027084,-12.522958683054753,-28.313954637547667,"[[0.225, 0.07216878364870322], [0.18333333333333338, 0.08660254037844384], [0.18333333333333335, 0.0], [0.22499999999999998, 0.0]]",6,3,3,normal
