target_name,region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma
simple_example_manual,11,gamut_011_cy,cy,0.5,0.0,0.5,0.25,0.4330127018922193,#9cd36e,0.611764705882353,0.8274509803921568,0.43137254901960786,78.9150462873468,-34.99013382693389,44.14872186254153,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,simple,12000,148954,62853,51232,50210,51232,1.0,0.65,0.65,8,98.0,1.9125366234557728,1022,0.019948469706433478,#5b8d46,0.35686275,0.5529412,0.27450982,53.643040649864986,-30.55229443681007,32.42181894981806,53.55575598850277,-30.488882783467776,32.242900096937255,20.883741459256083,28.21150366991964,0.5647426094336183,1.2154693927614864,0.40574825480671867,133.29954870269148,44.549040835559154
simple_example_manual,12,gamut_012_ccycy,ccycy,0.6,0.0,0.4,0.2,0.34641016151377546,#88d184,0.5333333333333333,0.8196078431372549,0.5176470588235295,77.57843488375325,-37.888046728189686,31.195962138943845,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,simple,12000,106708,44946,34615,33926,34615,1.0,0.65,0.65,8,98.0,4.6358501084606285,689,0.01990466560739564,#578855,0.34117648,0.53333336,0.33333334,52.14575180174515,-27.537223151870236,22.336314215156005,52.10655370984843,-27.540924281821294,22.398143679410783,21.47947984624776,28.852283770811447,1.150511117298408,2.7001988492337965,0.9224327974464102,140.95339642099793,35.45715148787446
simple_example_manual,13,gamut_013_ccy,ccy,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.28867513459481287,#7bcf92,0.4823529411764706,0.8117647058823529,0.5725490196078431,76.6242576233587,-38.596781108295175,22.516384217852845,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,simple,12000,77292,32829,24320,23834,24320,1.0,0.65,0.65,8,98.0,4.416066351935586,486,0.019983552631578947,#53845d,0.3254902,0.5176471,0.3647059,50.746762282842994,-25.130304659569003,16.04049046385366,50.75955696936505,-25.08022438757742,15.949679374495739,22.376592684171364,29.88190008944536,1.2515770868514713,2.6882412654664622,0.8716988992469483,147.45020634219873,29.81324448301016
simple_example_manual,14,gamut_014_ccyc,ccyc,0.75,0.0,0.25,0.125,0.21650635094610965,#6bcda5,0.4196078431372549,0.803921568627451,0.6470588235294118,75.7627364620849,-38.23104893684348,11.116976934990475,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,simple,12000,54151,22887,16045,15724,16045,1.0,0.65,0.65,8,98.0,6.413745751396949,321,0.02000623247117482,#4e7d6c,0.30588236,0.49019608,0.42352942,48.7224623853843,-20.12182005072727,4.351062867749422,48.86212575720899,-20.095575225377438,4.376255481384056,24.546165194778755,33.24000881705844,1.9076180758236514,4.032902916280115,1.3288863176164638,167.79844568922033,20.58687422201238
simple_example_manual,15,gamut_015_ccycc,ccycc,0.8,0.0,0.2,0.1,0.17320508075688773,#61ccb0,0.3803921568627451,0.8,0.6901960784313725,75.36328019947463,-37.63795429928929,4.586277188762633,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,simple,12000,63802,26854,19851,19454,19851,1.0,0.65,0.65,8,98.0,6.80951529070483,397,0.0199989924940809,#4c7a77,0.29803923,0.47843137,0.46666667,48.02070298169757,-16.481058599619903,-3.5262455382601976,48.37861611483443,-16.52316268154126,-3.531795799436711,26.131342336071175,35.511178374608356,1.9243749913088442,4.153045104705118,1.3780501901976112,192.07677432154128,16.854070729654755
simple_example_manual,16,gamut_016_c,c,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,simple,9136,31442,13503,9323,9136,9323,1.0,0.65,0.65,8,98.0,1.5520133099241553,187,0.020057921269977474,#436ec0,0.2627451,0.43137255,0.7529412,47.285864137730705,11.796366979059336,-47.47654928130189,47.264426601691724,11.813668088577232,-47.64313952771029,34.06313323130419,56.81219812712744,0.43255370935382115,0.8825442762194653,0.288131358012415,283.95355873751913,48.920108396900844
simple_example_manual,17,gamut_017_ccmcc,ccmcc,0.8,0.2,0.0,0.2,0.0,#55a5ce,0.3333333333333333,0.6470588235294118,0.807843137254902,64.39915620027084,-12.522958683054753,-28.313954637547667,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,simple,12000,63565,26997,21066,20654,21066,1.0,0.65,0.65,8,98.0,4.737996312924781,412,0.019557580936105573,#47559f,0.2784314,0.33333334,0.62352943,38.50512536189274,16.961898568013,-42.17173173716778,38.3019357718002,16.94904235181935,-42.14145401397507,30.598458684774755,41.61605010470689,1.3536551446809937,2.916153568729272,0.9940259821819557,291.91049199161006,45.45504329272172
simple_example_manual,18,gamut_018_ccmc,ccmc,0.75,0.25,0.0,0.25,0.0,#5c9cca,0.3607843137254902,0.611764705882353,0.792156862745098,61.92440441812144,-7.364048329696504,-29.88546306665585,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,simple,12000,54211,23054,17538,17222,17538,1.0,0.65,0.65,8,98.0,3.4306829825008616,316,0.018018018018018018,#464d95,0.27450982,0.3019608,0.58431375,35.555483780158994,18.454651670914977,-40.72501351607046,35.646414650786525,18.511537677609045,-40.75793852996712,29.98939064755297,38.46324348359277,0.6869382574131231,1.8297557842525252,0.6778982764549825,294.3777874865169,44.7113061113062
simple_example_manual,19,gamut_019_ccm,ccm,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,#678dc4,0.403921568627451,0.5529411764705883,0.7686274509803922,57.95834963869487,1.909786468417607,-32.625876079859225,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,simple,12000,77480,32809,26015,25496,26015,1.0,0.65,0.65,8,98.0,2.110292968771909,519,0.01995002882952143,#49478a,0.28627452,0.2784314,0.5411765,33.556197272266324,19.355264669094485,-37.222876216576815,33.53992295783045,19.45169219817647,-37.35448299749936,25.654747848524494,30.34702884998246,0.5884945940455373,1.20975977211312,0.40188152292483154,297.4736671227614,41.95436549687407
simple_example_manual,20,gamut_020_ccmcm,ccmcm,0.6,0.4,0.0,0.4,0.0,#7082c0,0.4392156862745098,0.5098039215686274,0.7529411764705882,55.29267420281303,9.505154374171154,-34.4733226879592,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,simple,12000,106527,45383,37179,36442,37179,1.0,0.65,0.65,8,98.0,1.964365276262419,737,0.019823018370585546,#4b4487,0.29411766,0.26666668,0.5294118,32.743791663512674,20.59066043893809,-36.32286014403877,32.714167787837866,20.728857984961213,-36.34757981779755,22.12778524379859,25.19447037118642,0.5439868138168888,1.2305417592814043,0.4007722921184623,299.5479827899939,41.75314917889488
