region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,gamut_011_cy,cy,0.5,0.0,0.5,0.25,0.4330127018922193,#9cd36e,0.611764705882353,0.8274509803921568,0.43137254901960786,78.9150462873468,-34.99013382693389,44.14872186254153,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,simple
12,gamut_012_ccycy,ccycy,0.6,0.0,0.4,0.2,0.34641016151377546,#88d184,0.5333333333333333,0.8196078431372549,0.5176470588235295,77.57843488375325,-37.888046728189686,31.195962138943845,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,simple
13,gamut_013_ccy,ccy,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.28867513459481287,#7bcf92,0.4823529411764706,0.8117647058823529,0.5725490196078431,76.6242576233587,-38.596781108295175,22.516384217852845,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,simple
14,gamut_014_ccyc,ccyc,0.75,0.0,0.25,0.125,0.21650635094610965,#6bcda5,0.4196078431372549,0.803921568627451,0.6470588235294118,75.7627364620849,-38.23104893684348,11.116976934990475,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,simple
15,gamut_015_ccycc,ccycc,0.8,0.0,0.2,0.1,0.17320508075688773,#61ccb0,0.3803921568627451,0.8,0.6901960784313725,75.36328019947463,-37.63795429928929,4.586277188762633,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,simple
16,gamut_016_c,c,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,simple
17,gamut_017_ccmcc,ccmcc,0.8,0.2,0.0,0.2,0.0,#55a5ce,0.3333333333333333,0.6470588235294118,0.807843137254902,64.39915620027084,-12.522958683054753,-28.313954637547667,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,simple
18,gamut_018_ccmc,ccmc,0.75,0.25,0.0,0.25,0.0,#5c9cca,0.3607843137254902,0.611764705882353,0.792156862745098,61.92440441812144,-7.364048329696504,-29.88546306665585,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,simple
19,gamut_019_ccm,ccm,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,#678dc4,0.403921568627451,0.5529411764705883,0.7686274509803922,57.95834963869487,1.909786468417607,-32.625876079859225,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,simple
20,gamut_020_ccmcm,ccmcm,0.6,0.4,0.0,0.4,0.0,#7082c0,0.4392156862745098,0.5098039215686274,0.7529411764705882,55.29267420281303,9.505154374171154,-34.4733226879592,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,simple
21,gamut_021_cm,cm,0.5,0.5,0.0,0.5,0.0,#7e70b9,0.49411764705882355,0.4392156862745098,0.7254901960784313,51.29732537689088,22.192773865570615,-36.6472398512226,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,simple
22,gamut_022_cmcmm,cmcmm,0.4,0.6,0.0,0.6,0.0,#8c5fb2,0.5490196078431373,0.37254901960784315,0.6980392156862745,48.227853537804535,34.47023920646486,-37.32564454758596,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,simple
23,gamut_023_cmm,cmm,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,#9553ad,0.5843137254901961,0.3254901960784314,0.6784313725490196,46.43717552780805,42.58465688514468,-37.152504170448154,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,simple
24,gamut_024_mcmm,mcmm,0.25,0.75,0.0,0.75,0.0,#a044a7,0.6274509803921569,0.26666666666666666,0.6549019607843137,44.800029665938034,51.92297921655648,-36.09631750039897,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,simple
25,gamut_025_mmcmm,mmcmm,0.2,0.8,0.0,0.8,0.0,#a73ca4,0.6549019607843137,0.23529411764705882,0.6431372549019608,44.4176754796398,56.71421828170675,-34.84717030635769,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,simple
26,gamut_026_m,m,0.0,1.0,0.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,simple
27,gamut_027_mmymm,mmymm,0.0,0.8,0.2,0.9,0.17320508075688773,#cf4078,0.8117647058823529,0.25098039215686274,0.47058823529411764,49.84848124885772,60.188269024954224,0.4786347756794429,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,simple
28,gamut_028_mmym,mmym,0.0,0.75,0.25,0.875,0.21650635094610965,#d24a70,0.8235294117647058,0.2901960784313726,0.4392156862745098,51.57960032045129,56.37809473471766,7.85956369537153,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,simple
29,gamut_029_mmy,mmy,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333333,0.28867513459481287,#d75b64,0.8431372549019608,0.3568627450980392,0.39215686274509803,54.92109472478978,49.47976671792647,19.744343642877826,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,simple
30,gamut_030_mmymy,mmymy,0.0,0.6,0.4,0.8,0.34641016151377546,#db685a,0.8588235294117647,0.40784313725490196,0.35294117647058826,57.754183854481255,43.898425701771274,29.352331819167688,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,simple
