region_i,region_j,deltaE00,deltaE76
gamut_002_mymyy,gamut_026_m,33.95295098524604,55.74871922818828
gamut_002_mymyy,gamut_027_mmymm,22.911490407218594,32.535663844664825
gamut_002_mymyy,gamut_028_mmym,19.117850862190423,26.587547196620033
gamut_002_mymyy,gamut_029_mmy,13.674593728588002,18.710715628068737
gamut_002_mymyy,gamut_030_mmymy,10.224521344454413,14.081366989773356
gamut_003_myy,gamut_004_ymyy,3.7890508038314206,5.182162779727443
gamut_003_myy,gamut_005_yymyy,4.604398524323236,6.399849597599519
gamut_003_myy,gamut_006_y,34.88651840502164,54.71021529898326
gamut_003_myy,gamut_007_yycyy,35.283081494222714,51.94508124011495
gamut_003_myy,gamut_008_ycyy,35.58399881529052,51.902397998686595
gamut_003_myy,gamut_009_cyy,35.78286511663622,51.831708311618854
gamut_003_myy,gamut_010_cycyy,36.02358101966575,51.940127637501526
gamut_003_myy,gamut_011_cy,36.233199810130614,51.63450984153469
gamut_003_myy,gamut_012_ccycy,35.69088576694656,50.16631195303408
gamut_003_myy,gamut_013_ccy,35.3065712189052,49.88517373760305
gamut_003_myy,gamut_014_ccyc,34.85645025783979,51.393637239295906
gamut_003_myy,gamut_015_ccycc,34.590210854066875,53.92874720260688
gamut_003_myy,gamut_016_c,42.48926271969162,83.33668822689128
gamut_003_myy,gamut_017_ccmcc,42.26697942586751,78.43918679045701
gamut_003_myy,gamut_018_ccmc,42.575084143870825,77.44516887224351
gamut_003_myy,gamut_019_ccm,42.182981843299466,74.40205845355317
gamut_003_myy,gamut_020_ccmcm,42.18024280668953,73.69587099029211
gamut_003_myy,gamut_021_cm,41.868331439452724,71.58941657489318
gamut_003_myy,gamut_022_cmcmm,41.562024586519954,70.38137941345653
gamut_003_myy,gamut_023_cmm,41.29205998187805,69.10621647637603
gamut_003_myy,gamut_024_mcmm,40.579399723553585,66.37388007954745
gamut_003_myy,gamut_025_mmcmm,40.30524027307661,65.78144759202254
gamut_003_myy,gamut_026_m,36.25114992082274,58.66196501753344
gamut_003_myy,gamut_027_mmymm,25.10746973606111,35.43570277236729
gamut_003_myy,gamut_028_mmym,21.29907193552854,29.493657264742694
