region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ykm_two_color_011_yk,ykm,two_color,cy,yk,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#8a7a0a,0.5392156862745098,0.4764705882352941,0.0392156862745098,50.89729237511497,-4.702436638467478,54.43291229936329,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8299,31919,13596,8468,8299,8468,1.0,0.65,0.65,8,98.0,15.874864602057045,169,0.019957487009919696,#586140,0.34509805,0.38039216,0.2509804,39.508715629397535,-9.557469740042123,17.763349817906835,39.774762379518236,-9.58306383679899,17.80332538189993,19.1709465324284,38.70307273708278,8.212410774746475,12.505186764317468,3.8065709720258454,118.28222145790363,20.171311920278058,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
12,ykm_two_color_012_yykyk,ykm,two_color,ccycy,yykyk,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#a18e08,0.6313725490196079,0.5560784313725491,0.03137254901960784,58.865354913161596,-4.979038213321019,61.85782711075281,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5177,23107,9771,5282,5177,5282,1.0,0.65,0.65,8,98.0,18.49595111570634,105,0.019878833775085196,#6b7547,0.41960785,0.45882353,0.2784314,47.45651078262483,-11.54416419039328,23.3342150349098,47.15313721322203,-11.822126944883422,25.0694948189619,19.171029916485534,40.71033395662272,11.505239288397894,17.173032887789535,5.392035615443473,116.32303853507813,26.033695821956766,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
13,ykm_two_color_013_yyk,ykm,two_color,ccy,yyk,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#b19b07,0.69281045751634,0.6091503267973856,0.026143790849673203,64.06203102381075,-5.152249592040081,66.58979098711278,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3339,16768,7049,3406,3339,3406,1.0,0.65,0.65,8,98.0,22.98787707992357,67,0.019671168526130357,#828d4d,0.50980395,0.5529412,0.3019608,56.46617406745858,-14.316282930170733,32.20628132703356,52.722395651733066,-13.530868029214597,30.614251934514737,15.559667446635695,36.38546806718988,7.706236140945063,21.422794412384896,6.875889819494901,113.96602472775226,35.24486507071248,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
14,ykm_two_color_014_yyky,ykm,two_color,ccyc,yyky,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#c4ac05,0.7696078431372549,0.6754901960784314,0.0196078431372549,70.4431701097861,-5.360264800353121,72.31357491032786,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1990,11778,4903,2031,1990,2031,1.0,0.65,0.65,8,98.0,30.34866794330268,41,0.02018709995076317,#98a351,0.59607846,0.6392157,0.31764707,64.48484783474413,-16.152541721984687,40.430063742756886,60.022944145238284,-14.906806843795103,38.071324728648854,13.887676265001414,34.183813857717304,5.345141232728704,25.117358514885254,8.489329482395092,111.77760244226738,43.53727894946859,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
15,ykm_two_color_015_yykyy,ykm,two_color,ccycc,yykyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#d0b604,0.8156862745098039,0.7152941176470589,0.01568627450980392,74.21597840184782,-5.48163475683433,75.6623751618622,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2754,13730,5811,2811,2754,2811,1.0,0.65,0.65,8,98.0,33.07861593029605,57,0.020277481323372464,#abb452,0.67058825,0.7058824,0.32156864,70.92993361705298,-17.481532225549714,48.48405467187678,65.41308016234979,-15.770184652816909,44.013330716210106,12.025710558863516,29.890746632423234,4.162311677919277,26.835256906799273,9.427034330167412,109.82740274206884,51.53937840504549,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
16,ykm_two_color_016_y,ykm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1188,6786,2947,1201,1188,0,0.0,0.65,0.65,8,98.0,1.0166370772612174,13,0.010824313072439634,#ffe753,1.0,0.90588236,0.3254902,91.26638375960398,-8.061931408167633,71.84120655604404,91.33393490730525,-7.991730026530458,72.06644545124742,4.330599644363474,17.008228894261514,0.35552447070314674,0.6863915512172357,0.20916615038844186,96.40287399029046,72.29214132572216,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
17,ykm_two_color_017_yymyy,ykm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3221,13842,5854,3287,3221,3287,1.0,0.65,0.65,8,98.0,13.87592809145437,66,0.020079099482811075,#f8b273,0.972549,0.69803923,0.4509804,77.87114854197621,18.707562448100678,42.42845914178699,77.17326212215383,20.19800405575487,40.5106579409746,13.823543136075774,34.89412984451325,4.59346199662919,11.542872535273013,3.5806403749765217,66.20635113281969,46.36967800077842,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
18,ykm_two_color_018_yymy,ykm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2600,11649,4995,2652,2600,2652,1.0,0.65,0.65,8,98.0,11.886319603034842,52,0.0196078431372549,#f6a874,0.9647059,0.65882355,0.45490196,75.42806751585512,23.017903739522726,38.42124056056112,74.96732647751979,23.863061402013805,37.23043673128197,15.322024700585596,34.798094195672846,4.314236150675891,9.118847959862139,2.838388892868213,59.074461792215914,44.78856571463794,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
19,ykm_two_color_019_yym,ykm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4151,16811,7151,4228,4151,4228,1.0,0.65,0.65,8,98.0,8.540062337248237,77,0.018211920529801324,#f39c7a,0.9529412,0.6117647,0.47843137,72.39920106635145,28.889255649337976,30.894938692506656,72.12114131041348,29.168033009932852,30.393683012824102,17.038488235872638,33.95489452959751,4.027525537022971,7.044660771237862,2.109686685636961,46.921479247954835,42.297592470335125,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
20,ykm_two_color_020_yymym,ykm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6170,23206,9857,6296,6170,6296,1.0,0.65,0.65,8,98.0,10.206210738381568,126,0.020012706480304957,#f0947d,0.9411765,0.5803922,0.49019608,70.40943088143517,33.13699190579675,26.095305728829786,70.42263449602993,32.107457004913776,26.935714966352112,16.950737495466054,31.03806194000178,3.9307973693972613,8.579125323904186,2.6797329021496856,38.220351589832376,42.17849231119974,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
