region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
14,cny_full_014_cnnnnn,cny,full,cyyyyy,cnnnnn,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#7d999e,0.48888888888888876,0.5980392156862745,0.6209150326797385,61.16213715904476,-8.366367456226097,-6.284466980880654,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,cny_full_015_cnnnn,cny,full,cyyyy,cnnnn,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#7a9aa1,0.4784313725490195,0.6054901960784314,0.6305882352941176,61.607754038311626,-9.686499798209791,-7.03699824739048,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,cny_full_016_cnnn,cny,full,cyyy,cnnn,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#769da4,0.4627450980392156,0.6166666666666667,0.6450980392156862,62.29380297239342,-11.594887213849548,-8.131163464377721,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,cny_full_017_cnn,cny,full,cyy,cnn,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#6fa2ab,0.43660130718954243,0.6352941176470589,0.6692810457516339,63.48135663336363,-14.5817008063997,-9.867013764083676,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,cny_full_018_cncnyn,cny,full,cycymy,cncnyn,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#83af92,0.5130718954248366,0.6875816993464053,0.5738562091503266,67.78887836153676,-20.946288987634677,10.091843697928592,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,cny_full_019_cncnn,cny,full,cycyy,cncnn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#6aa6b0,0.4156862745098039,0.6501960784313725,0.688627450980392,64.46812932089617,-16.796039102735804,-11.181586272020706,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,cny_full_020_cn,cny,full,cy,cn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#62acb7,0.38431372549019605,0.6725490196078432,0.7176470588235294,66.00354158706689,-19.82881356457683,-13.039772037206943,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,cny_full_021_cyncn,cny,full,cmycy,cyncn,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#81b692,0.5074509803921569,0.7129411764705882,0.5741176470588234,69.58262829173592,-24.646671732554026,12.579912491891676,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,cny_full_022_ccncn,cny,full,ccycy,ccncn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5ab1be,0.3529411764705882,0.6949019607843138,0.7466666666666667,67.59807915308023,-22.52485781531105,-14.773558140756826,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,cny_full_023_ccn,cny,full,ccy,ccn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#55b5c3,0.33202614379084966,0.7098039215686275,0.7660130718954248,68.69021664733687,-24.143039702976267,-15.866622477003634,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,cny_full_024_cycncn,cny,full,cmcycy,cycncn,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#76b99f,0.46078431372549017,0.7248366013071895,0.6222222222222222,70.13010764797498,-27.282542049746393,6.569518652695394,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,cny_full_025_cccn,cny,full,cccy,cccn,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490197,0.7901960784313726,70.084486119623,-25.97462396481376,-17.168556206019183,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,cny_full_026_ccccn,cny,full,ccccy,ccccn,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313725,0.7396078431372549,0.8047058823529412,70.93511113290782,-26.976647683873644,-17.917879487656663,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
