region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_v,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
24,vcm_full_024_vmvcvc,vcm,full,cmcycy,vmvcvc,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#6d72e2,0.42679738562091507,0.4483660130718954,0.8856209150326798,52.76388228765671,28.35142200477997,-57.65066078331722,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,vcm_full_025_vvvc,vcm,full,cccy,vvvc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6473f6,0.3921568627450981,0.45196078431372544,0.9656862745098039,53.70174887928475,32.57975215233,-67.57713568042698,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,vcm_full_026_vvvvc,vcm,full,ccccy,vvvvc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#676ef8,0.4031372549019608,0.42980392156862746,0.9725490196078432,52.6336143349329,37.02149791197279,-70.26885899612341,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,vcm_full_027_vvvvvc,vcm,full,cccccy,vvvvvc,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#696af9,0.4104575163398693,0.4150326797385621,0.977124183006536,51.9554756004721,39.95098139301578,-72.01077903677114,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,vcm_full_028_v,vcm,full,c,v,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,vcm_full_029_vmvc,vcm,full,cmcy,vmvc,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#7864dc,0.4715686274509804,0.3911764705882353,0.8627450980392157,49.790380821639644,37.75191329599031,-59.090498348807216,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,vcm_full_030_vvmvc,vcm,full,ccmcy,vvmvc,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#7761e3,0.4666666666666667,0.3811764705882353,0.8901960784313726,49.560615014212146,40.9927902585932,-63.42548872541016,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,vcm_full_031_vvvmvc,vcm,full,cccmcy,vvvmvc,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#7660e8,0.4633986928104576,0.37450980392156863,0.9084967320261438,49.42817674546458,43.1598402408131,-66.27388548203577,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
32,vcm_full_032_vvvvvm,vcm,full,cccccm,vvvvvm,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,#804ded,0.5,0.30065359477124187,0.9313725490196078,46.91475865389191,56.73748978257559,-73.60279609059697,"[[0.18333333333333338, 0.08660254037844385], [0.16666666666666669, 0.09622504486493762], [0.08333333333333334, 0.04811252243246881], [0.08333333333333333, 0.0], [0.18333333333333335, 0.0]]",6,5,5,full
33,vcm_full_033_vvvvm,vcm,full,ccccm,vvvvm,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#824bea,0.5105882352941176,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.225, 0.07216878364870322], [0.18333333333333338, 0.08660254037844384], [0.18333333333333335, 0.0], [0.22499999999999998, 0.0]]",6,5,5,full
