region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,clm_full_011_clml,clm,full,cymy,clml,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#a39dbe,0.6401960784313725,0.6147058823529412,0.7431372549019608,66.1654388995487,8.963547910505243,-16.01803712309504,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2550,10877,4602,2600,2550,2600,1.0,0.65,0.65,8,98.0,5.293535416824108,50,0.019230769230769232,#afaebf,0.6862745,0.68235296,0.7490196,71.4786240427407,3.4641269520597207,-8.815070588578177,71.81925350737974,3.5766226204923557,-8.83915899127139,7.6546233315100345,10.505060406365876,2.8662615309091017,4.4014230233102545,1.221384004409883,291.45372439417474,9.471306405222174,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
12,clm_full_012_clmll,clm,full,cymyy,clmll,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#aba6be,0.6690196078431372,0.6494117647058824,0.7466666666666667,69.09422125129986,6.6790376802883245,-12.05126826068259,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2656,12458,5306,2710,2656,2710,1.0,0.65,0.65,8,98.0,5.280832335926241,54,0.01992619926199262,#b3b5c0,0.7019608,0.70980394,0.7529412,73.86325819897942,2.4295454080972,-5.993367394006777,73.49655974523827,2.6369687988026262,-5.975153996529395,6.880339835970586,8.803411889160731,3.1022700160257015,4.642315377600751,1.1651350661973021,292.06627280748273,6.467081537258501,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
13,clm_full_013_clmlll,clm,full,cymyyy,clmlll,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#afabbf,0.688235294117647,0.6725490196078431,0.7490196078431373,71.04189334348888,5.207594471750454,-9.430609269004586,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4128,16995,7231,4212,4128,4212,1.0,0.65,0.65,8,98.0,6.481654433786682,84,0.019943019943019943,#b8b9c1,0.72156864,0.7254902,0.75686276,74.95158428531377,1.9998671813272473,-4.085051939214379,74.48689621249139,2.045585513525651,-4.333817854499347,5.939229171907076,7.358680642369746,3.8857076662222907,5.736014563535832,1.6272396156304059,296.08439864090246,4.548309366020407,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
14,clm_full_014_clllll,clm,full,cyyyyy,clllll,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#b0c9c6,0.6915032679738561,0.7875816993464052,0.7777777777777777,79.07364345112796,-8.72690115396657,-1.5461176684616218,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1626,8903,3792,1660,1626,647,0.3897590361445783,0.65,0.65,8,98.0,4.8069640185037255,34,0.020481927710843374,#b8c0c2,0.72156864,0.7529412,0.7607843,77.0587027431027,-1.9225068122183941,-2.230143354840153,76.8330417873858,-2.054904642990805,-2.6323106232971694,7.768161304524808,7.129351972970445,2.1814138666178873,3.5609406349843034,0.9929069486627168,229.23684524817656,2.944413664240102,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
15,clm_full_015_cllll,clm,full,cyyyy,cllll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#acc9c7,0.6729411764705882,0.7874509803921568,0.7811764705882352,78.77391370177266,-10.073441984677133,-2.4885812696774368,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,268,3919,1702,273,268,79,0.2893772893772894,0.65,0.65,8,98.0,2.8713441064863514,5,0.018315018315018316,#b7bfc2,0.7176471,0.7490196,0.7607843,76.89614782981414,-2.101732156212066,-2.236540349913585,76.71193386111777,-2.2237829584448616,-2.5437275147284124,8.624518265776244,8.19375902039925,1.5071320742508858,2.5468796225701142,0.6802084219752506,226.7798457526127,3.0691026038970093,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
16,clm_full_016_clll,clm,full,cyyy,clll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a4c9c9,0.6450980392156862,0.7872549019607843,0.7862745098039216,78.3418577878161,-12.037612649278051,-3.8758385778769444,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,738,5653,2441,751,738,673,0.8961384820239681,0.65,0.65,8,98.0,3.406944355970618,13,0.017310252996005325,#b2bdc3,0.69803923,0.7411765,0.7647059,75.97410254302481,-2.6090657440075438,-3.7202653202655034,76.11224800361882,-2.6299133844829954,-3.75590283062342,9.703568253099526,9.722549289286558,1.5071838816594982,2.5433782979969695,0.7189661836652037,234.957569839325,4.543962820019969,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
17,clm_full_017_cll,clm,full,cyy,cll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#99c9cb,0.5986928104575163,0.7869281045751634,0.7947712418300653,77.66903448349201,-15.149348105007398,-6.116170938595333,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1221,7433,3151,1246,1221,1246,1.0,0.65,0.65,8,98.0,2.1684551207266325,25,0.020064205457463884,#acbbc4,0.6745098,0.73333335,0.76862746,75.09767184103906,-3.55256683987204,-6.140722089048278,75.2519457214751,-3.603277542782665,-6.081673223687213,10.93163864331094,11.878461361194288,0.9139489101753416,1.6464988139224306,0.4494471461896099,239.94950623860547,7.094307501559533,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
18,clm_full_018_clclml,clm,full,cycymy,clclml,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#98abc3,0.5954248366013072,0.6718954248366013,0.7660130718954248,69.3735733593036,-1.501032103909672,-14.500160423350227,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3553,14955,6369,3619,3553,3619,1.0,0.65,0.65,8,98.0,8.400685840282796,66,0.0182370820668693,#a9b4c4,0.6627451,0.7058824,0.76862746,72.78275468002957,0.08629825767170196,-9.277645952094705,72.39673572963095,0.5414993437273367,-9.197939303336357,4.741385972714186,6.435587957355429,3.617042057206601,6.903358333635134,1.9646631278859594,270.53293511875756,9.278047305424588,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
19,clm_full_019_clcll,clm,full,cycyy,clcll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#8fc9cc,0.5615686274509804,0.7866666666666666,0.8015686274509803,77.17374299550487,-17.478635502505004,-7.842693674630041,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1033,7028,2996,1055,1033,1055,1.0,0.65,0.65,8,98.0,3.111754821311977,22,0.02085308056872038,#a7bac5,0.654902,0.7294118,0.77254903,74.42174333637564,-3.9768382186494144,-7.7577208706181455,74.63786371827491,-3.936904194281712,-7.669625036146486,11.925590985599953,13.779668080022798,1.1132755020395726,2.3984070303515823,0.7266871099934216,242.85897470572877,8.717653085764253,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
20,clm_full_020_cl,clm,full,cy,cl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#81c9cf,0.5058823529411764,0.7862745098039216,0.8117647058823529,76.50296436848879,-20.676899839808417,-10.321095386057056,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1767,9446,3987,1804,1767,1804,1.0,0.65,0.65,8,98.0,1.1534143303665714,37,0.020509977827051,#9db7c9,0.6156863,0.7176471,0.7882353,73.1284807001737,-5.228349577736713,-11.556931329943843,73.18316795333348,-5.253688027699138,-11.587516114158863,12.488443596161627,15.861025682713068,0.5374406644967049,0.8861654185567177,0.2478331683067936,245.65802945660863,12.6845694082242,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clmDSC_4531.tif,clmDSC_4531.tif,DSC_4531,clm,capture_number,4531,c,l,m,CMY+neutral,full__clm__clmDSC_4531,0.5418422636965683
