region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ywm_full_011_ywmw,ywm,full,cymy,ywmw,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#ebb9a0,0.9215686274509804,0.723529411764706,0.6274509803921569,78.86363435065218,14.842267488189066,19.416490286283118,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,3276,13084,5548,3340,3276,3340,1.0,0.65,0.65,8,98.0,4.318274797585164,64,0.019161676646706587,#ea9d90,0.91764706,0.6156863,0.5647059,71.92518306067184,27.04440567525773,18.709666380520805,71.84525257566479,27.044746333818683,18.768742881213484,9.491696724152945,14.054674762281277,2.3232869367095907,3.733354525780238,1.1262192399783049,34.675981473179434,32.885429819272595,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
12,ywm_full_012_ywmww,ywm,full,cymyy,ywmww,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#edc5b1,0.9294117647058824,0.7709803921568629,0.6941176470588235,82.3423619689081,11.453971170320376,15.211453440418833,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,3374,14918,6271,3441,3374,3441,1.0,0.65,0.65,8,98.0,5.941492620346631,67,0.01947108398721302,#eba89d,0.92156863,0.65882355,0.6156863,74.97492201321174,22.964242044876183,15.07810303053725,74.85217581778474,23.14658388951021,15.49741481245884,9.765199595533355,13.666868311294085,3.590119382312011,5.302258564755101,1.5197487849537672,33.288522091990444,27.471905716479803,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
13,ywm_full_013_ywmwww,ywm,full,cymyyy,ywmwww,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#eecdbc,0.9346405228758171,0.8026143790849675,0.738562091503268,84.68201724013068,9.318451422850982,12.507146019129545,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,5224,20308,8636,5327,5224,5327,1.0,0.65,0.65,8,98.0,8.549744149254597,103,0.01933546085977098,#e8b0a5,0.9098039,0.6901961,0.64705884,76.7579272496423,18.97115585032999,13.264620318413979,76.5223270286688,19.235357272134024,13.76288219986877,9.321968840527987,12.511581524959482,4.208458333757773,6.966580137141973,2.08676077899568,34.96122175893106,23.1485400509231,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
14,ywm_full_014_ywwwww,ywm,full,cyyyyy,ywwwww,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#f7f1cc,0.9673202614379086,0.94640522875817,0.8006535947712418,94.81899368176441,-4.184756006605506,18.619963569757193,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,2136,10589,4522,2176,2136,2176,1.0,0.65,0.65,8,98.0,2.7157878838593033,40,0.01838235294117647,#f5edae,0.9607843,0.92941177,0.68235296,92.9805920045412,-6.483318771695446,31.690918649753087,92.9567857017291,-6.618615973742006,31.976866275527968,6.2660665590837565,13.39824534090735,1.4889144000007102,2.3123052409948825,0.6673366088067721,101.5620143512042,32.34729891599431,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
15,ywm_full_015_ywwww,ywm,full,cyyyy,ywwww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#f7f1c4,0.9686274509803923,0.943529411764706,0.7686274509803922,94.49799914190935,-4.872218839970466,22.370113365105905,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,391,4648,1970,395,391,395,1.0,0.65,0.65,8,98.0,2.8257133928942078,4,0.010126582278481013,#f6eda5,0.9647059,0.92941177,0.64705884,92.97769140268299,-7.425602387485297,36.039907480506095,92.98140252826519,-7.3507712829465905,36.39357076077713,6.013026737328759,13.989080538766679,1.5551824435452235,2.38243965555309,0.7966753488390372,101.64220721187763,36.79693604120412,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
16,ywm_full_016_ywww,ywm,full,cyyy,ywww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#f8f0b8,0.9705882352941178,0.9392156862745099,0.7205882352941176,94.03074541756537,-5.8061779066262424,27.997281699796005,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,950,6796,2820,968,950,968,1.0,0.65,0.65,8,98.0,1.783664769176786,18,0.01859504132231405,#f7ed9b,0.96862745,0.92941177,0.60784316,92.89560702523569,-7.8288883400574605,40.6275575004452,92.85384979054461,-7.87694667404768,40.80973461276193,5.025518227021099,12.841486030351666,0.5579967317245218,1.1448325913898516,0.38601076164709014,100.90714432904628,41.37499149357095,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
17,ywm_full_017_yww,ywm,full,cyy,yww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#f8eea3,0.9738562091503269,0.9320261437908498,0.6405228758169935,93.28989762805435,-7.0985775864075285,37.34317724520992,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1638,8781,3794,1672,1638,1672,1.0,0.65,0.65,8,98.0,1.6815006971904405,34,0.02033492822966507,#f9eb86,0.9764706,0.92156863,0.5254902,92.26857290517832,-8.559773897814315,50.44707051766224,92.29286236533935,-8.488816123030647,50.29459200351595,4.459019981210093,13.22460652518054,0.37092231972111883,0.7902482492253515,0.29260300120843463,99.63013084479746,51.16812145267491,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
18,ywm_full_018_ywywmw,ywm,full,cycymy,ywywmw,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#f0c994,0.9411764705882354,0.788235294117647,0.5784313725490197,83.13822724169293,6.613058535044624,31.892087252759758,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,4518,17745,7614,4602,4518,4602,1.0,0.65,0.65,8,98.0,8.172146640042888,84,0.018252933507170794,#efab8b,0.9372549,0.67058825,0.54509807,75.66503889908704,20.712403323231655,26.56836203776879,75.43198179395458,21.0371876521373,26.269468650807067,12.962075021344631,16.822072334435138,4.034383894261724,7.152390806793249,2.155621335009885,52.06041231981851,33.68800250525655,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
19,ywm_full_019_ywyww,ywm,full,cycyy,ywyww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#f9ec93,0.9764705882352942,0.9262745098039217,0.5764705882352941,92.73114977667396,-7.8910818467205495,44.73620836974273,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1383,8539,3574,1410,1383,1410,1.0,0.65,0.65,8,98.0,2.194976208092816,27,0.019148936170212766,#faea80,0.98039216,0.91764706,0.5019608,92.0841912907783,-8.20649846525784,53.022107830233736,92.11822324476465,-8.16220246758882,52.8387091536756,2.666242212819312,8.317101225492394,0.6757285044349791,1.3056269983518274,0.44964626534304203,98.79814528141009,53.653429860738754,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
20,ywm_full_020_yw,ywm,full,cy,yw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#faea7b,0.9803921568627452,0.9176470588235295,0.4803921568627451,91.9488240565362,-8.674881669843703,55.525164261720896,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,2299,11260,4763,2342,2299,2342,1.0,0.65,0.65,8,98.0,0.825607080376094,43,0.018360375747224593,#fce96e,0.9882353,0.9137255,0.43137255,91.74036890172664,-8.515999497118788,61.41663082003721,91.78356157368628,-8.469309397195572,61.24328874011062,1.7106495132881487,5.897293896706859,0.34949100742086187,0.5971468982436887,0.16518931068269985,97.8942681782678,62.00423202265852,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
21,ywm_full_021_ymwyw,ywm,full,cmycy,ymwyw,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#efc080,0.9372549019607843,0.7537254901960784,0.5019607843137255,80.57150379719377,8.78716560424092,38.59751765540926,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,3660,16253,6900,3735,3660,3735,1.0,0.65,0.65,8,98.0,6.274530683958694,75,0.020080321285140562,#eea480,0.93333334,0.6431373,0.5019608,73.75072848793545,23.490288333190446,29.656064440357422,73.20929974936263,23.800441318769746,29.29454587625694,13.703122811647964,18.510925946556565,2.5510832335873577,5.033720798422101,1.477005916157269,51.61758803914529,37.83220591066631,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4524ywm.tif,DSC_4524ywm.tif,DSC_4524,ywm,capture_number,4524,y,w,m,CMY+neutral,full__ywm__DSC_4524ywm,0.5884275907159202
