region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
17,mky_full_017_mkk,mky,full,cyy,mkk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1275,7461,3228,1301,1275,123,0.09454265949269793,0.65,0.65,8,98.0,2.3167691828940598,26,0.019984627209838585,#363337,0.21176471,0.2,0.21568628,21.681544242880342,2.2394580643890216,-2.228301678193656,21.647081638039534,2.195969425420804,-2.4106035277119267,19.791398403253815,31.403448011417197,0.9035928886857564,1.6668808045333094,0.45108957431097724,315.1430722670538,3.1591930601338194,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
18,mky_full_018_mkmkyk,mky,full,cycymy,mkmkyk,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#76383c,0.46078431372549017,0.21764705882352942,0.2352941176470588,31.6332906179194,27.61577504935625,10.011147726808012,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3580,15138,6392,3654,3580,1652,0.4521072796934866,0.65,0.65,8,98.0,14.17680740808311,74,0.020251778872468526,#363437,0.21176471,0.20392157,0.21568628,22.12787902248413,1.3295230056673824,-0.9678213662949742,23.30920608890113,0.5537157212115231,-0.23891054942320689,21.238729459393568,30.030945014272913,2.7704251128565267,9.586510795482294,3.249065236865167,323.9473924936606,1.644478525142819,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
19,mky_full_019_mkmkk,mky,full,cycyy,mkmkk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1039,7128,3002,1060,1039,489,0.46132075471698114,0.65,0.65,8,98.0,2.7547488249874665,21,0.01981132075471698,#38353a,0.21960784,0.20784314,0.22745098,22.49237331168542,2.492773304422463,-2.7248387428968956,22.422026926532148,2.4976325025475097,-2.86244059956465,20.475602066266518,35.88830724887666,1.1704316276146973,1.977699198981806,0.5472133416022996,312.4533152913832,3.6930563117874633,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
20,mky_full_020_mk,mky,full,cy,mk,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1802,9459,4034,1837,1802,1681,0.9150789330430049,0.65,0.65,8,98.0,2.828546496682828,35,0.01905280348394121,#37343a,0.21568628,0.20392157,0.22745098,22.17292468480251,3.3737427232891912,-3.5988002930904206,21.95803612914799,3.322712558909026,-3.537049813994445,20.89036204762616,41.84011464691196,0.9207417511454051,1.8380602200576057,0.5757048230173628,313.1512665462848,4.9329001117491185,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
21,mky_full_021_mykmk,mky,full,cmycy,mykmk,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#893f44,0.5372549019607843,0.2454901960784314,0.26666666666666666,36.4575201846838,32.2711177420143,12.030755252654624,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,2889,13712,5824,2946,2889,1323,0.44908350305498984,0.65,0.65,8,98.0,16.739180652811267,57,0.019348268839103868,#413d3c,0.25490198,0.23921569,0.23529412,25.952991960670744,1.9757919580340455,0.9256414014582548,27.407097036888963,1.6244418729526935,1.389834560640999,21.919755237397855,33.93339698902276,4.858546287135444,10.45074543328045,3.4329649610035653,25.102682822603185,2.1818721010924564,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
22,mky_full_022_mmkmk,mky,full,ccycy,mmkmk,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#7d1762,0.4901960784313725,0.09019607843137255,0.3843137254901961,29.045595891041245,49.26967652924896,-18.504774230581546,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full,1073,7105,3019,1095,1073,1095,1.0,0.65,0.65,8,98.0,10.97442091843657,22,0.02009132420091324,#403744,0.2509804,0.21568628,0.26666668,24.532657190103635,6.358924747330436,-5.747287543409573,25.678956533909624,6.5271173377560805,-6.0084957664344545,19.86102464869448,44.993918486626775,3.410114940967974,6.841675582966722,2.24272148534162,317.8922719959578,8.571303170979444,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
23,mky_full_023_mmk,mky,full,ccy,mmk,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#89176b,0.5359477124183006,0.09150326797385622,0.41830065359477125,31.743751639240692,53.2149515234337,-19.734675168000603,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full,1226,7472,3188,1252,1226,1252,1.0,0.65,0.65,8,98.0,5.789909493564339,26,0.020766773162939296,#4c3f4f,0.29803923,0.24705882,0.30980393,28.61216961701147,8.647024479451412,-7.316992475683115,28.704961286374097,8.563932145754407,-7.250612285644386,19.027927417773583,46.37138956734808,2.7471733795843867,4.248766814226146,1.1540284917480048,319.76256262224763,11.327374419406965,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
24,mky_full_024_mymkmk,mky,full,cmcycy,mymkmk,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#933852,0.5751633986928105,0.22091503267973855,0.32026143790849676,37.18636223784326,40.43647828185454,4.612495147099849,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full,3379,15002,6382,3448,3379,3068,0.8897911832946636,0.65,0.65,8,98.0,23.603524492026786,69,0.020011600928074247,#4b423d,0.29411766,0.25882354,0.23921569,28.764694151703594,2.8524659151357157,3.8920575679138647,31.63866244517372,2.193248548272883,5.027295227331911,22.621119364938526,38.52274015747426,7.109530523300784,18.258523376300655,5.83525687572416,53.76253208932809,4.825419557817395,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
25,mky_full_025_mmmk,mky,full,cccy,mmmk,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#971876,0.5931372549019608,0.09313725490196079,0.46078431372549017,35.09144550512338,57.975459492816796,-21.202984000335157,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full,731,5698,2426,746,731,746,1.0,0.65,0.65,8,98.0,9.784204218938727,15,0.020107238605898123,#634b63,0.3882353,0.29411766,0.3882353,35.17933869515373,14.8669707663924,-11.204498604068448,35.61496674217766,14.623473629178356,-10.416163566352205,16.363296657648938,44.252900873371814,5.435187424513568,8.42497244679612,2.217718476911714,322.9964787796306,18.616326402846994,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
26,mky_full_026_mmmmk,mky,full,ccccy,mmmmk,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#a0187c,0.6274509803921569,0.09411764705882353,0.4862745098039216,37.08540498115857,60.75459110192849,-22.053769184463246,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full,272,3970,1690,278,272,278,1.0,0.65,0.65,8,98.0,12.733022899434136,6,0.02158273381294964,#7a5679,0.47843137,0.3372549,0.47254902,41.62608829063511,21.29265471470948,-13.914148148311979,39.94181717710866,20.366032346005362,-13.374707438338595,14.402037224348618,40.54769609926112,5.855010416144115,11.16711235617677,3.4860490588706607,326.8365186235319,25.435814582847815,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
27,mky_full_027_mmmmmk,mky,full,cccccy,mmmmmk,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#a61880,0.6503267973856209,0.09477124183006536,0.5032679738562092,38.408346244124495,62.579101598709165,-22.610174152949725,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full,1488,8883,3792,1519,1488,1519,1.0,0.65,0.65,8,98.0,16.86066769748421,31,0.02040816326530612,#8d5c86,0.5529412,0.36078432,0.5254902,45.88891767777774,26.74969619368417,-15.92665410226537,42.94451070964388,24.888242536928416,-14.77876224144619,13.687378815604918,37.207185877455494,6.286700091625826,15.757772992248727,4.739284838359394,329.2306132336451,31.132050323542902,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
28,mky_full_028_m,mky,full,c,m,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full,629,4750,2035,642,629,642,1.0,0.65,0.65,8,98.0,1.862189117695875,13,0.020249221183800622,#e973b0,0.9137255,0.4509804,0.6901961,64.04182365993135,52.43362197326762,-11.019877490444397,64.02177263236442,52.390776253110985,-11.026540876188601,19.412457401218727,30.471789072052985,0.5251495191785915,1.0981075801478986,0.3690045818311857,348.13099366230733,53.579122922458666,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
29,mky_full_029_mymk,mky,full,cmcy,mymk,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#a64950,0.6519607843137255,0.2872549019607843,0.3137254901960784,43.526989556442715,38.951938737172064,14.989794183137484,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full,2187,10964,4694,2232,2187,2232,1.0,0.65,0.65,8,98.0,18.904826552322742,45,0.020161290322580645,#625749,0.38431373,0.34117648,0.28627452,37.55231143360528,2.93201056596995,8.51104518385457,38.73509190698491,2.447286770455421,9.171974781349569,22.122658049458956,37.082424310254865,8.165570281719722,14.238410207557955,4.220685841086387,70.99143813913025,9.001920688418306,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4547mky.tif,DSC_4547mky.tif,DSC_4547,mky,capture_number,4547,m,k,y,CMY+neutral,full__mky__DSC_4547mky,0.5469462169553327
