region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_k,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
29,kcm_full_029_kmkc,kcm,full,cmcy,kmkc,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#494267,0.2872549019607843,0.2598039215686274,0.4019607843137255,30.20856639479205,11.915008877799227,-20.16099382261619,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,kcm_full_030_kkmkc,kcm,full,ccmcy,kkmkc,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#3f3956,0.2454901960784314,0.2235294117647059,0.33725490196078434,25.688597471196815,9.716522314270975,-16.59786291032661,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,kcm_full_031_kkkmkc,kcm,full,cccmcy,kkkmkc,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#38334b,0.21764705882352942,0.19934640522875816,0.29411764705882354,22.610131472301553,8.206866088599496,-14.133147110534338,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
32,kcm_full_032_kkkkkm,kcm,full,cccccm,kkkkkm,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,#31152a,0.19281045751633985,0.08169934640522876,0.16339869281045752,11.63624231569353,17.798422254156065,-7.77458064449389,"[[0.18333333333333338, 0.08660254037844385], [0.16666666666666669, 0.09622504486493762], [0.08333333333333334, 0.04811252243246881], [0.08333333333333333, 0.0], [0.18333333333333335, 0.0]]",6,5,5,full
33,kcm_full_033_kkkkm,kcm,full,ccccm,kkkkm,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#37152e,0.2156862745098039,0.08235294117647059,0.1803921568627451,12.89747700743833,20.83245368117059,-8.924348843146014,"[[0.225, 0.07216878364870322], [0.18333333333333338, 0.08660254037844384], [0.18333333333333335, 0.0], [0.22499999999999998, 0.0]]",6,5,5,full
34,kcm_full_034_kkkm,kcm,full,cccm,kkkm,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#401535,0.25,0.08333333333333333,0.20588235294117646,14.843923173616584,25.10403095001251,-10.486377606583396,"[[0.2916666666666667, 0.07216878364870322], [0.22499999999999998, 0.0721687836487032], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,5,5,full
35,kcm_full_035_kkm,kcm,full,ccm,kkm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.3666666666666667, 0.07698003589195004], [0.3416666666666667, 0.0914137926216907], [0.31666666666666665, 0.08660254037844384], [0.2916666666666667, 0.07216878364870323], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,5,5,full
36,kcm_full_036_kmkmkc,kcm,full,cmcmcy,kmkmkc,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.41666666666666663,0.14433756729740643,#553461,0.33202614379084966,0.2026143790849673,0.3790849673202614,27.294682862148527,23.675646140107393,-20.860076476670287,"[[0.44999999999999996, 0.06735753140545633], [0.4833333333333334, 0.08660254037844393], [0.44166666666666676, 0.20688384645961588], [0.3583333333333334, 0.1587713240271471], [0.3416666666666667, 0.09141379262169072], [0.3666666666666667, 0.07698003589195006]]",6,5,5,full
37,kcm_full_037_kkmkm,kcm,full,ccmcm,kkmkm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.44999999999999996, 0.06735753140545633], [0.3666666666666667, 0.07698003589195006], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,5,5,full
38,kcm_full_038_km,kcm,full,cm,km,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.55, 0.06735753140545635], [0.5166666666666666, 0.08660254037844395], [0.4833333333333334, 0.08660254037844395], [0.44999999999999996, 0.06735753140545636], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,5,5,full
39,kcm_full_039_kmkmc,kcm,full,cmcmy,kmkmc,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0.17320508075688773,#623a70,0.38274509803921564,0.22745098039215686,0.43921568627450985,31.279128705777893,27.690333245042776,-24.322684307912958,"[[0.5166666666666666, 0.08660254037844392], [0.5583333333333332, 0.20688384645961583], [0.5499999999999999, 0.23094010767585013], [0.45000000000000007, 0.23094010767585016], [0.44166666666666676, 0.20688384645961586], [0.4833333333333334, 0.08660254037844392]]",6,5,5,full
40,kcm_full_040_kmkmm,kcm,full,cmcmm,kmkmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#7d1762,0.4901960784313725,0.09019607843137253,0.38431372549019616,29.045595891041245,49.26967652924896,-18.504774230581557,"[[0.6333333333333333, 0.07698003589195006], [0.55, 0.06735753140545635], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,5,5,full
41,kcm_full_041_kmm,kcm,full,cmm,kmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#89176b,0.5359477124183006,0.0915032679738562,0.41830065359477125,31.743751639240692,53.2149515234337,-19.734675168000603,"[[0.7083333333333331, 0.07216878364870336], [0.6833333333333338, 0.08660254037844362], [0.6583333333333332, 0.09141379262169061], [0.6333333333333334, 0.07698003589195007], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,5,5,full
42,kcm_full_042_kmkmcm,kcm,full,cmcmym,kmkmcm,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.14433756729740643,#723576,0.4464052287581699,0.2058823529411765,0.4640522875816994,32.66479429550428,37.2344269606164,-25.986391660607655,"[[0.6583333333333332, 0.09141379262169057], [0.6416666666666665, 0.15877132402714716], [0.5583333333333332, 0.20688384645961586], [0.5166666666666666, 0.0866025403784439], [0.55, 0.06735753140545633], [0.6333333333333334, 0.07698003589195007]]",6,5,5,full
43,kcm_full_043_kmmm,kcm,full,cmmm,kmmm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#971876,0.5931372549019607,0.09313725490196077,0.4607843137254902,35.091445505123374,57.975459492816825,-21.202984000335167,"[[0.7750000000000006, 0.07216878364870336], [0.7083333333333333, 0.07216878364870336], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,5,5,full
44,kcm_full_044_kmmmm,kcm,full,cmmmm,kmmmm,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#a0187c,0.6274509803921567,0.09411764705882351,0.4862745098039216,37.08540498115857,60.75459110192846,-22.053769184463256,"[[0.8166666666666662, 0.08660254037844367], [0.7750000000000006, 0.07216878364870337], [0.7750000000000006, 0.0], [0.8166666666666663, 0.0]]",6,5,5,full
45,kcm_full_045_kmmmmm,kcm,full,cmmmmm,kmmmmm,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0,#a61880,0.6503267973856208,0.09477124183006536,0.5032679738562092,38.40834624412449,62.579101598709165,-22.610174152949746,"[[0.8333333333333333, 0.0962250448649377], [0.8166666666666662, 0.0866025403784437], [0.8166666666666663, 0.0], [0.9166666666666666, 0.0], [0.9166666666666666, 0.048112522432468836]]",6,5,5,full
46,kcm_full_046_m,kcm,full,m,m,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.9166666666666667, 0.048112522432468885], [0.9166666666666667, 0.0], [1.0, 0.0], [0.9583333333333334, 0.07216878364870329]]",6,5,5,full
47,kcm_full_047_kmcm,kcm,full,cmym,kmcm,0.25,0.25,0.5,0.25,0.25,0.5,0.625,0.21650635094610965,#754487,0.4588235294117647,0.2647058823529412,0.5294117647058824,37.12509581566638,33.46197691194275,-29.296765797458278,"[[0.6833333333333332, 0.23094010767585077], [0.6000000000000006, 0.27905263010831916], [0.575, 0.2742413778650722], [0.5499999999999999, 0.23094010767585016], [0.5583333333333332, 0.20688384645961583], [0.6416666666666664, 0.1587713240271472]]",6,5,5,full
48,kcm_full_048_kmmcm,kcm,full,cmmym,kmmcm,0.2,0.2,0.6,0.2,0.2,0.6,0.7,0.17320508075688773,#853b8a,0.5199999999999999,0.23137254901960785,0.5411764705882354,37.69451311829901,43.2529655080936,-30.09357031064983,"[[0.766666666666667, 0.23094010767584996], [0.7499999999999998, 0.25018511664883825], [0.6833333333333333, 0.23094010767585071], [0.6416666666666665, 0.15877132402714722], [0.6583333333333332, 0.0914137926216906], [0.6833333333333339, 0.08660254037844359]]",6,5,5,full
49,kcm_full_049_kmmmcm,kcm,full,cmmmym,kmmmcm,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.75,0.14433756729740643,#8f358c,0.5607843137254901,0.20915032679738563,0.5490196078431373,38.39485057471999,49.169845025413856,-30.108006853228087,"[[0.8250000000000003, 0.1587713240271464], [0.7916666666666666, 0.21650635094610957], [0.7666666666666672, 0.2309401076758499], [0.6833333333333339, 0.08660254037844357], [0.7083333333333331, 0.07216878364870336], [0.7750000000000006, 0.07216878364870336], [0.8166666666666662, 0.08660254037844367], [0.8333333333333333, 0.09622504486493769], [0.8333333333333333, 0.11547005383792629]]",6,5,5,full
50,kcm_full_050_mmmmmc,kcm,full,mmmmmy,mmmmmc,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.9166666666666667,0.14433756729740643,#ac36a2,0.6751633986928104,0.21241830065359477,0.6339869281045752,44.29329499365149,59.912836127730685,-33.59685277421012,"[[0.8333333333333334, 0.11547005383792527], [0.8333333333333334, 0.09622504486493769], [0.9166666666666666, 0.0481125224324689], [0.9583333333333333, 0.07216878364870329], [0.9083333333333332, 0.15877132402714716]]",6,5,5,full
51,kcm_full_051_mmmmc,kcm,full,mmmmy,mmmmc,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#a83ca4,0.6572549019607843,0.23529411764705882,0.6431372549019608,44.510929531904225,56.86520806107603,-34.69393627011519,"[[0.8250000000000001, 0.15877132402714667], [0.8333333333333333, 0.11547005383792514], [0.9083333333333332, 0.15877132402714725], [0.8875000000000002, 0.19485571585149836]]",6,5,5,full
52,kcm_full_052_mmmc,kcm,full,mmmy,mmmc,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#a145a8,0.6303921568627451,0.2696078431372549,0.6568627450980392,45.06263653556892,51.86511691404066,-35.97102947994762,"[[0.7916666666666665, 0.21650635094610965], [0.8250000000000001, 0.1587713240271467], [0.8875000000000002, 0.19485571585149844], [0.8541666666666666, 0.2525907427704614]]",6,5,5,full
53,kcm_full_053_mmc,kcm,full,mmy,mmc,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915032,46.56431782014134,42.571600369637416,-37.144930571145984,"[[0.7499999999999999, 0.2790526301083193], [0.7499999999999999, 0.25018511664883825], [0.7666666666666673, 0.23094010767584988], [0.7916666666666665, 0.2165063509461097], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,5,5,full
54,kcm_full_054_kmcmcm,kcm,full,cmymym,kmcmcm,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.28867513459481287,#785398,0.4712418300653594,0.3235294117647059,0.5947712418300654,41.80063959489275,29.574972484706613,-32.02529127334554,"[[0.7499999999999998, 0.2790526301083193], [0.7166666666666667, 0.35603266600026906], [0.6833333333333338, 0.3752776749732563], [0.6000000000000006, 0.27905263010831927], [0.6833333333333333, 0.23094010767585077], [0.7499999999999998, 0.2501851166488382]]",6,5,5,full
