region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cnm_two_color_011_cn,cnm,two_color,cy,cn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#62acb7,0.38431372549019605,0.6725490196078432,0.7176470588235294,66.00354158706689,-19.82881356457683,-13.039772037206943,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8031,31145,13273,8195,8031,8195,1.0,0.65,0.65,8,98.0,6.4858305033488834,164,0.020012202562538134,#728da1,0.44705883,0.5529412,0.6313726,57.32633183365547,-5.004247161470687,-13.879281534284793,57.83454325368534,-5.069108542014553,-13.807542854607933,13.734141278352118,17.19786365629422,2.8736500927378015,5.09547261718654,1.403711261651739,250.17296755591022,14.753879000487508,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
12,cnm_two_color_012_ccncn,cnm,two_color,ccycy,ccncn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5ab1be,0.3529411764705882,0.6949019607843138,0.7466666666666667,67.59807915308023,-22.52485781531105,-14.773558140756826,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5023,22503,9582,5126,5023,5126,1.0,0.65,0.65,8,98.0,7.227684186581808,103,0.020093640265314086,#7294ac,0.44705883,0.5803922,0.6745098,59.97390789886981,-4.979609893704662,-17.37277516753297,59.980071808658415,-5.037248703476666,-17.64748454565735,14.174538441220685,19.305948334553392,3.833723781072793,5.333023803768327,1.3118097582134576,254.0059525296072,18.072349922329735,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
13,cnm_two_color_013_ccn,cnm,two_color,ccy,ccn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#55b5c3,0.33202614379084966,0.7098039215686275,0.7660130718954248,68.69021664733687,-24.143039702976267,-15.866622477003634,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3257,16395,6933,3324,3257,3324,1.0,0.65,0.65,8,98.0,6.939541076292711,67,0.020156438026474127,#7299ba,0.44705883,0.6,0.7294118,61.565720938649335,-4.962865688107055,-20.936955862863527,61.162361265031784,-4.974945451069197,-20.41445717336131,14.562986783283469,21.07951126064209,2.8409010972904567,5.213752395135061,1.4667024010801455,256.66481150905975,21.51711311123511,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
14,cnm_two_color_014_ccnc,cnm,two_color,ccyc,ccnc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490196,0.7901960784313725,70.08448611962298,-25.97462396481376,-17.168556206019183,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1928,11356,4821,1968,1928,1968,1.0,0.65,0.65,8,98.0,8.578579787580772,40,0.02032520325203252,#749dc8,0.45490196,0.6156863,0.78431374,63.24668564496369,-4.501620564068832,-25.07225985074919,63.111202415137306,-4.3241967842036555,-24.12037234258949,15.43935267218429,23.881246233883452,2.8714230697480807,5.725997916195734,1.7740040963773065,259.8212317407489,25.473178084533096,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
15,cnm_two_color_015_ccncc,cnm,two_color,ccycc,ccncc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313726,0.7396078431372548,0.8047058823529412,70.9351111329078,-26.97664768387359,-17.917879487656684,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2675,13453,5696,2730,2675,2730,1.0,0.65,0.65,8,98.0,8.222243152227032,55,0.020146520146520148,#75a1ce,0.45882353,0.6313726,0.80784315,64.63221169674829,-3.7946803681438435,-26.644171562053476,64.37647381069732,-3.942692102031474,-25.992243818182697,16.039661283889995,25.559309914345935,2.327573202251755,5.7834143799688045,1.7528085720074122,261.8944078709701,26.913035453558845,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
16,cnm_two_color_016_c,cnm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1139,6742,2891,1163,1139,1163,1.0,0.65,0.65,8,98.0,3.1853756174374377,24,0.02063628546861565,#7face8,0.49803922,0.6745098,0.9098039,69.35601093066421,0.856408439553924,-34.805946694977365,69.42531644799003,0.8239109911217823,-34.7537455126602,19.653884934661264,34.596109421416664,0.8686787027914472,2.0249588313582723,0.6763397745584434,271.4094916257727,34.816481165519086,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
17,cnm_two_color_017_ccmcc,cnm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3159,13536,5745,3224,3159,3224,1.0,0.65,0.65,8,98.0,10.688336173315626,65,0.020161290322580645,#829fdc,0.50980395,0.62352943,0.8627451,65.29516185036591,4.011222827046302,-34.28783731473721,64.98231555981562,6.628180448770421,-34.32630438081366,10.96840588382843,17.53756512925248,3.018268250225473,9.596678251214351,2.9772962022053737,276.6725178235735,34.52166995222136,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
18,cnm_two_color_018_ccmc,cnm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2555,11538,4923,2608,2555,2608,1.0,0.65,0.65,8,98.0,9.779843777726546,53,0.020322085889570553,#8197d9,0.5058824,0.5921569,0.8509804,63.98574537708109,8.221022990646699,-34.676296416170935,63.39238635037834,9.62523831168169,-34.78493936794809,10.405544542530485,16.323588323117665,4.257123703300884,7.730449617243999,2.1919354830018363,283.3373847707255,35.637490822936606,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
19,cnm_two_color_019_ccm,cnm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4031,16516,6985,4114,4031,4114,1.0,0.65,0.65,8,98.0,8.185959054822012,83,0.020175012153621778,#8991d3,0.5372549,0.5686275,0.827451,61.74401957353639,12.545409891365434,-34.590701645404145,61.475833826090366,12.922324493076973,-34.68748486210776,7.796283754988314,11.403458803027883,4.515430241598458,6.710304752864504,1.6657718983193044,289.9347749174295,36.795433815403435,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
20,cnm_two_color_020_ccmcm,cnm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6032,22591,9664,6153,6032,6153,1.0,0.65,0.65,8,98.0,8.983519704413995,121,0.01966520396554526,#8d8dcf,0.5529412,0.5529412,0.8117647,60.99174493529931,15.048396103527622,-34.035657384459086,61.0555303779964,14.565874521347995,-33.82737856976371,6.4771771400682985,7.771417167315738,4.260926021851168,7.1251985968675,2.0158643288834326,293.8519564651729,37.21397854141572,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
21,cnm_two_color_021_cm,cnm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,9144,31471,13370,9331,9144,9331,1.0,0.65,0.65,8,98.0,6.493525226178653,187,0.020040724466830993,#9286ca,0.57254905,0.5254902,0.7921569,59.54231378104846,19.110119182667475,-33.350647573701494,59.78535847454726,18.796578442797024,-33.27302842734828,7.714044136071456,9.106315303147626,2.7656269285208466,4.785147037085043,1.3117733082245358,299.8129650527704,38.437772421941894,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
22,cnm_two_color_022_cmcmm,cnm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,6014,22551,9634,6137,6014,6137,1.0,0.65,0.65,8,98.0,10.437741615872353,123,0.02004236597686166,#9981c6,0.6,0.5058824,0.7764706,58.56426273918444,21.813018679069096,-32.086228977570066,59.22171240278972,23.395470163459983,-31.909753362746315,11.454677268953251,17.179639545392973,4.771878181076681,8.886827745522062,2.7041673924631295,304.20884283656585,38.79863237144416,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
23,cnm_two_color_023_cmm,cnm,two_color,cmm,cmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915034,46.564317820141355,42.571600369637416,-37.144930571146006,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color,4029,16367,6999,4112,4029,4112,1.0,0.65,0.65,8,98.0,12.335892776242297,83,0.020184824902723737,#a27ac1,0.63529414,0.47843137,0.75686276,57.356059477187046,29.465557496062612,-31.329589695927563,58.32497273643297,28.295764790811344,-31.09884111956241,11.749449933629196,17.945702474168645,4.41358407218984,9.012967998615588,2.775671341569119,313.24381164968213,43.00886268048647,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4588cnm.tif,DSC_4588cnm.tif,DSC_4588,cnm,capture_number,4588,c,n,m,CMY+neutral,two_color__cnm__DSC_4588cnm,0.5381165919282511
