region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,cwy_full_011_cwyw,cwy,full,cymy,cwyw,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#c9e4b2,0.7872549019607844,0.8950980392156863,0.6960784313725491,87.58260572385221,-17.995528819686356,21.820282634181588,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,cwy_full_012_cwyww,cwy,full,cymyy,cwyww,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#d2e8bf,0.8219607843137255,0.908235294117647,0.7490196078431374,89.34256918159606,-14.427040852017182,17.354887630346294,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,cwy_full_013_cwywww,cwy,full,cymyyy,cwywww,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#d8eac8,0.8450980392156864,0.9169934640522875,0.7843137254901961,90.52530880757125,-12.034272627401588,14.403293737764479,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,cwy_full_014_cwwwww,cwy,full,cyyyyy,cwwwww,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#d6eef1,0.838562091503268,0.931372549019608,0.9444444444444445,92.33996265218572,-7.088921127765824,-4.250371537423181,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,cwy_full_015_cwwww,cwy,full,cyyyy,cwwww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,cwy_full_016_cwww,cwy,full,cyyy,cwww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,cwy_full_017_cww,cwy,full,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,cwy_full_018_cwcwyw,cwy,full,cycymy,cwcwyw,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#b8e2c4,0.722875816993464,0.8875816993464053,0.7679738562091504,86.39606409906426,-19.527007917737482,10.433311190232297,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,cwy_full_019_cwcww,cwy,full,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,cwy_full_020_cw,cwy,full,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
