region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cky_two_color_011_ck,cky,two_color,cy,ck,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,7997,31303,13242,8161,7997,8161,1.0,0.65,0.65,8,98.0,18.856569325287882,164,0.02009557652248499,#435367,0.2627451,0.3254902,0.40392157,34.71909558646876,-1.675354884424024,-12.077480062476864,36.30517782300269,-1.796893743354306,-11.978281404384186,15.777105886452986,18.53508968317302,9.203668489922265,15.774172770192433,4.53553801852829,262.102485299756,12.193126696967008,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
12,cky_two_color_012_cckck,cky,two_color,ccycy,cckck,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#2b808c,0.16784313725490194,0.5019607843137255,0.5490196078431373,49.30092876062784,-20.98856372096758,-13.896445901541377,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,4957,22550,9501,5059,4957,5059,1.0,0.65,0.65,8,98.0,19.53684532130341,102,0.020162087369045265,#50697e,0.3137255,0.4117647,0.49411765,43.064448317517346,-3.0853577130582344,-17.064422415503678,42.98766858840137,-2.5152136739794253,-16.74248120120181,15.0631658071522,19.22120050548242,12.97482714538112,17.21861729364037,4.988954954899535,259.7512762519373,17.34110563350193,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
13,cky_two_color_013_cck,cky,two_color,ccy,cck,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#2d8c99,0.17777777777777778,0.5490196078431372,0.6013071895424836,53.63298621676569,-22.635268982233057,-15.087355983918593,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3279,16205,6971,3346,3279,3346,1.0,0.65,0.65,8,98.0,24.627362914491055,67,0.020023909145248056,#5d81a0,0.3647059,0.5058824,0.627451,52.57994289922581,-3.8620793059573333,-19.032132176540806,46.658633235115346,-3.39287403425372,-18.467155541759986,13.689282695998742,19.21204856489593,6.617958783265716,22.73580794361376,7.631573997803717,258.52906076093666,19.420033773163826,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
14,cky_two_color_014_cckc,cky,two_color,ccyc,cckc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#319baa,0.19019607843137254,0.6078431372549019,0.6666666666666667,58.95879349397434,-24.633574246772593,-16.539634450304554,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1980,11503,4894,2021,1980,2021,1.0,0.65,0.65,8,98.0,29.883357241033433,41,0.02028698664027709,#6290b5,0.38431373,0.5647059,0.70980394,57.84436676488906,-4.711017288079377,-23.98453382087716,51.794202316270486,-4.021880089372861,-21.90924040447758,13.842038291192301,21.297341367993038,5.1895118345114515,26.442542418881555,9.421672269667146,258.88748947312325,24.442821983015445,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
15,cky_two_color_015_cckcc,cky,two_color,ccycc,cckcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#32a4b4,0.1976470588235294,0.6431372549019607,0.7058823529411765,62.11042910324521,-25.805137854912175,-17.393975631597037,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2654,13378,5660,2708,2654,2708,1.0,0.65,0.65,8,98.0,30.255553944523935,54,0.019940915805022157,#6997bf,0.40980393,0.5921569,0.7509804,60.671527221319174,-4.296800279607105,-25.80584608950619,55.46065819278723,-3.900033221927711,-23.929247956601813,14.552219560234876,23.1395459868973,3.6163829105554894,27.9368613132882,9.618842055946663,260.54669508704455,26.161119720648685,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
16,cky_two_color_016_c,cky,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1126,6590,2862,1148,1126,1148,1.0,0.65,0.65,8,98.0,1.9408247147699804,22,0.01916376306620209,#83afea,0.5137255,0.6862745,0.91764706,70.47148105929149,0.3001786021986086,-33.87344021271437,70.5778437492701,0.2863765541412755,-33.88204882552759,19.148069073271405,33.571036768491155,0.6191501817398404,1.222658778785654,0.3819038154319402,270.50772867185196,33.874770243317556,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
17,cky_two_color_017_ccycc,cky,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3169,13410,5769,3234,3169,3234,1.0,0.65,0.65,8,98.0,18.246721656452316,65,0.02009894867037724,#7ec1c7,0.49411765,0.75686276,0.78039217,74.05531263947437,-19.90058647926124,-9.816309200047435,74.36413651445682,-19.92853364050153,-6.926713635118804,13.628336889185217,23.21596907145093,6.592777289700666,16.313338531550933,4.751217284055751,206.2556180893398,22.189936199310964,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
18,cky_two_color_018_ccyc,cky,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2505,11438,4868,2557,2505,2557,1.0,0.65,0.65,8,98.0,12.508243443097244,52,0.02033633163863903,#81c5bb,0.5058824,0.77254903,0.73333335,74.78047769397318,-23.948985713585724,-1.5776280319944824,75.1027194362871,-23.7522676425122,0.38898348993250875,9.853607258803102,19.57215151916343,6.655371494991997,11.309588302202572,3.3040804870917273,183.76888685603865,24.00089221085058,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
19,cky_two_color_019_ccy,cky,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4029,16301,6999,4112,4029,4112,1.0,0.65,0.65,8,98.0,8.414288985318464,83,0.020184824902723737,#88c9a8,0.53333336,0.7882353,0.65882355,76.05334442191278,-27.169495209136695,9.455726070387428,76.20036209302246,-27.14043753235795,10.0464606682304,7.219763099905633,17.34872025052146,3.7125057099248453,6.819762052718695,2.0385010736901577,160.81070817830698,28.76790269445283,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
20,cky_two_color_020_ccycy,cky,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6017,22602,9667,6138,6017,6138,1.0,0.65,0.65,8,98.0,10.667192434360075,121,0.01971326164874552,#90cc9e,0.5647059,0.8,0.61960787,77.05096151651911,-28.246496441729608,17.011381633749867,77.07467921549662,-28.288245734588067,15.80012958056861,6.537578345730553,17.184248112296217,3.247472992535899,7.877659679411451,2.547716564920401,148.94165220253512,32.973499455194705,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
21,cky_two_color_021_cy,cky,two_color,cm,cy,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#9dd36e,0.6137254901960785,0.8294117647058823,0.43137254901960786,79.08731311025821,-35.04058229831547,44.36686585857201,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,9032,31471,13272,9217,9032,9217,1.0,0.65,0.65,8,98.0,4.313368117285596,185,0.0200716068134968,#97d094,0.5921569,0.8156863,0.5803922,78.30627689635854,-29.705432282128687,23.922048551053486,78.35069999503897,-29.711376796128683,23.850350484280842,7.956188014312126,21.14389741746894,1.852170829333808,3.291306024919477,0.9213173797463142,141.1551978670659,38.1402296000836,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
22,cky_two_color_022_cycyy,cky,two_color,cmcmm,cycyy,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,5952,22538,9601,6072,5952,6072,1.0,0.65,0.65,8,98.0,6.410080771762298,120,0.019762845849802372,#9fd48e,0.62352943,0.83137256,0.5568628,79.80574170178599,-29.6776285305701,28.806256521772177,79.90179098980688,-29.606073812038254,30.271695493237136,10.459327505941962,27.983142823638733,2.6202363093598104,5.36051564449282,1.6693419306939512,135.85360684524625,41.35894159666868,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
23,cky_two_color_023_cyy,cky,two_color,cmm,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color,4042,16469,7027,4122,4042,4122,1.0,0.65,0.65,8,98.0,6.594256376901073,80,0.019408054342552158,#a9d784,0.6627451,0.84313726,0.5176471,81.18532693212323,-29.789891459961193,36.71866537472405,81.13320867377888,-29.54689969960001,35.742559511866276,10.191455545208004,27.73825738594403,2.6364111888480055,5.0765240329074235,1.5410189092074211,129.05245580474235,47.28316846508097,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
