region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,yvm_two_color_011_yv,yvm,two_color,cy,yv,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#b99b80,0.7235294117647059,0.607843137254902,0.5,65.93640238209338,6.813827607940526,18.508882545113046,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8455,32162,13802,8628,8455,8628,1.0,0.65,0.65,8,98.0,17.55308048452393,173,0.02005099675475197,#a08b87,0.627451,0.54509807,0.5294118,59.65267727056499,6.484313819127118,6.171530828525551,59.86944374420188,6.73079631475732,5.6852106636498565,10.141543057136568,13.84933312448852,8.329499224474317,13.295836473766174,3.6662635782371606,43.58425112557842,8.95176622082839,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
12,yvm_two_color_012_yyvyv,yvm,two_color,ccycy,yyvyv,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#c7a966,0.7788235294117648,0.6611764705882354,0.4,70.36887960795697,2.2915304464816155,38.278747695252704,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5147,23282,9755,5253,5147,5253,1.0,0.65,0.65,8,98.0,21.0992808726013,106,0.02017894536455359,#ac9a80,0.6745098,0.6039216,0.5019608,64.63964726065244,3.5429395512283635,13.997554796687272,64.59309055073462,2.3973706365131426,16.291529421081105,12.452436907986804,24.97932057951513,11.379274362941189,17.080098481056908,5.253371776223961,75.79610052670705,14.438973680629834,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
13,yvm_two_color_013_yyv,yvm,two_color,ccy,yyv,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#d0b255,0.815686274509804,0.6967320261437909,0.3333333333333333,73.40015937264121,-0.0024389208980180044,50.53195710443885,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3375,16756,7115,3444,3375,3444,1.0,0.65,0.65,8,98.0,27.1330376666673,69,0.02003484320557491,#b4a57a,0.7058824,0.64705884,0.47843137,68.12385583486063,-0.8504059739546932,23.870601151852156,67.08360452279356,0.36209203056668204,22.045090315053482,10.793089570778246,27.19165916924518,7.121467920306641,22.02665542583771,7.022373750548477,92.04033718994765,23.885744486436746,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
14,yvm_two_color_014_yyvy,yvm,two_color,ccyc,yyvy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#dcbd40,0.861764705882353,0.7411764705882353,0.25,77.24603834345442,-2.213430655522264,64.13854172454272,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2065,11774,5026,2108,2065,2108,1.0,0.65,0.65,8,98.0,31.153257406150367,43,0.020398481973434534,#c1b570,0.75686276,0.70980394,0.4392157,73.37371885512295,-5.1898449448972155,35.80443411844869,71.69473483513397,-3.0184768534916553,32.63541571694063,9.70662055792074,28.751966090607137,4.884961492821908,21.229522655966182,7.625655786237735,98.24756921730432,36.17861237104607,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
15,yvm_two_color_015_yyvyy,yvm,two_color,ccycc,yyvyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#e3c433,0.8894117647058823,0.7678431372549019,0.2,79.5739437608988,-3.2521168134359013,71.0938854861102,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2803,13876,5889,2859,2803,2859,1.0,0.65,0.65,8,98.0,33.475966785207234,56,0.019587268275620847,#cabf69,0.7921569,0.7490196,0.4117647,76.5942632350161,-7.730646003569596,44.948072866081176,74.79690668223134,-4.612824991539974,38.15763248607459,8.603876904943931,26.693430602020282,3.6337885262289813,21.78108903838694,8.342440281884997,99.75885814037258,45.60802716635581,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
16,yvm_two_color_016_y,yvm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1152,6825,2935,1176,1152,0,0.0,0.65,0.65,8,98.0,1.7082320463514804,24,0.02040816326530612,#ffe756,1.0,0.90588236,0.3372549,91.2959351391807,-7.8854339188511595,70.69669979497726,91.3724760901113,-7.866479042557726,70.9820522521408,4.54568599152123,18.118378252829785,0.5386854896046448,1.1195785807629401,0.3592285247385709,96.36440363001617,71.13510687410054,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
17,yvm_two_color_017_yymyy,yvm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3244,13833,5896,3310,3244,3310,1.0,0.65,0.65,8,98.0,17.53133641553576,66,0.019939577039274924,#f9b476,0.9764706,0.7058824,0.4627451,78.50547054190667,18.488067710263316,42.144350893259066,77.53054202611222,20.260860562500355,39.53595636684184,13.809216781656934,35.115657348171645,4.826412720864823,13.964096773589112,4.469816402887629,66.31369000287037,46.02124465802101,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
18,yvm_two_color_018_yymy,yvm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2622,11713,5052,2675,2622,2675,1.0,0.65,0.65,8,98.0,13.720131175973416,53,0.019813084112149534,#f7aa78,0.96862745,0.6666667,0.47058824,75.79015999148828,22.775169423415313,36.816955369599555,75.33367474421392,23.841465341696257,36.41002496075083,15.874359420723632,36.286987803306424,5.188810539847292,10.005623900987807,3.1567973900268926,58.258838877722496,43.2919916953743,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
19,yvm_two_color_019_yym,yvm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4124,16909,7179,4209,4124,4209,1.0,0.65,0.65,8,98.0,11.352809005080022,85,0.020194820622475646,#f49d7c,0.95686275,0.6156863,0.4862745,72.83355871627556,28.716590494226313,30.964939567081515,72.49736114231452,29.054318632696308,29.997120796788792,16.939541472397433,33.86767402917437,4.630609555356218,8.739325359755249,2.6406677492972945,47.15745177808088,42.231150256725186,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
20,yvm_two_color_020_yymym,yvm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6147,23270,9868,6273,6147,6273,1.0,0.65,0.65,8,98.0,12.120406297689136,126,0.020086083213773313,#f2967f,0.9490196,0.5882353,0.49803922,70.95759404183514,32.76052552503012,26.145347034521492,70.78637348908612,32.04811056253426,26.700551488927598,16.82081012744491,30.966748636272484,4.932780332292337,9.11622233053509,2.811786534650989,38.5924823905259,41.914570309520194,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
21,yvm_two_color_021_ym,yvm,two_color,cm,ym,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,9421,32496,13763,9611,9421,9611,1.0,0.65,0.65,8,98.0,7.0389941495523365,190,0.019769014670689835,#ee8b82,0.93333334,0.54509807,0.50980395,68.23051575870983,36.391718050748814,22.361052644576397,68.35898422491175,36.25472439435956,22.22210725192329,12.558031983544646,21.876609764096354,3.285948067862795,5.332543113968207,1.4825679928064364,31.568829972263927,42.712689192542236,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
22,yvm_two_color_022_ymymm,yvm,two_color,cmcmm,ymymm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#db685a,0.8588235294117647,0.4086274509803922,0.3529411764705882,57.792720015896336,43.79980661784777,29.401577379574974,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,6190,23276,9924,6317,6190,6317,1.0,0.65,0.65,8,98.0,9.868242474391042,127,0.020104479974671522,#eb858a,0.92156863,0.52156866,0.5411765,66.71418774935069,38.56939280607757,16.323596362927397,67.17105913612444,38.861696385811854,15.145293005472542,10.085037514075275,16.67283427114952,4.676562537978274,8.398248403141,2.475510773772274,22.939378182491225,41.881473943132484,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
23,yvm_two_color_023_ymm,yvm,two_color,cmm,ymm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#d75b64,0.8431372549019608,0.3568627450980392,0.39215686274509803,54.92109472478978,49.47976671792647,19.744343642877826,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color,4137,16928,7172,4222,4137,4222,1.0,0.65,0.65,8,98.0,11.69059406726157,85,0.020132638559924206,#e97f8d,0.9137255,0.49803922,0.5529412,65.30407298306916,41.12647722505564,11.60361313494851,65.96807270249073,41.04321173618112,11.674132965803162,10.140903589566674,15.615862962588386,4.4228486376262115,7.954546974304824,2.3533748196284865,15.75612583655436,42.73208357579314,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
24,yvm_two_color_024_mymm,yvm,two_color,mcmm,mymm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#d24b71,0.8235294117647058,0.29215686274509806,0.4411764705882353,51.668565525830644,56.21727015606698,7.685778968975887,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color,2633,11894,5060,2686,2633,2686,1.0,0.65,0.65,8,98.0,15.261171812440203,53,0.019731943410275503,#e77994,0.90588236,0.4745098,0.5803922,63.769594791597456,44.62076878627197,5.313738755146624,64.94694736778806,43.32251175791763,6.973620286701533,11.579853672987895,16.92750212189104,4.561704685910401,11.706764197380318,3.7443682081838525,6.791180736482886,44.93605263745237,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
