region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cym_full_011_cymy,cym,full,cymy,cymy,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#bfa85d,0.7480392156862745,0.657843137254902,0.36274509803921573,69.28405204760621,-1.4239610886986331,41.6289471640567,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2681,11185,4752,2736,2681,2736,1.0,0.65,0.65,8,98.0,4.130400491331921,55,0.02010233918128655,#a19363,0.6313726,0.5764706,0.3882353,61.08600343992762,-1.8083971787843378,27.234858726464783,61.07825477676281,-1.8385977580258033,27.222156137995682,8.81035475661062,16.5694168283147,1.7321320799824007,3.0825969722382407,0.8869281871564613,93.79886865715315,27.29483156582451,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
12,cym_full_012_cymyy,cym,full,cymyy,cymyy,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#ccb34a,0.7984313725490196,0.7011764705882353,0.2901960784313726,73.1790254156686,-3.2212558733070717,55.20039454436346,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2792,12692,5435,2841,2792,2841,1.0,0.65,0.65,8,98.0,5.231137622204659,49,0.017247448081661388,#aba15b,0.67058825,0.6313726,0.35686275,65.61584743136125,-6.276836831419052,37.16256391364702,65.50546024025195,-6.044206405386013,37.006668248798015,8.867279858835397,19.79650398621687,2.8726503891594115,4.244116964551804,1.1307447829501778,99.58689871862498,37.68892194324691,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
13,cym_full_013_cymyyy,cym,full,cymyyy,cymyyy,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#d4ba3e,0.8320261437908497,0.7300653594771243,0.24183006535947715,75.79617245452674,-4.090430020091517,63.269250247781606,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4266,17372,7385,4354,4266,4354,1.0,0.65,0.65,8,98.0,5.3670815273623305,88,0.020211299954065228,#b6aa55,0.7137255,0.6666667,0.33333334,68.77933350853348,-6.309089412909918,44.12953516755226,68.54544495471144,-6.600642650516911,44.04695307620602,8.07367133253315,20.505783858407064,3.0524880461178467,4.505035792721128,1.3180100802697956,98.13629891635196,44.578251236722195,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
14,cym_full_014_cyyyyy,cym,full,cyyyyy,cyyyyy,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#dedb25,0.8712418300653595,0.8594771241830065,0.14379084967320263,85.22002960492412,-17.423035804343623,79.69705339328037,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1716,8975,3887,1750,1716,1750,1.0,0.65,0.65,8,98.0,2.5674737843627313,34,0.019428571428571427,#b4d153,0.7058824,0.81960785,0.3254902,79.6432937218286,-28.022842745172138,57.949872710782316,79.53228432530037,-28.018409527614363,57.66118473367747,10.303779110363342,24.82731878253989,1.2375551743292987,2.0057118571629413,0.5363628534467132,115.80703586407128,64.36977134273913,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
15,cym_full_015_cyyyy,cym,full,cyyyy,cyyyy,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d8da2c,0.8454901960784313,0.8564705882352941,0.17254901960784313,84.52082667829146,-19.591593417616572,77.13877361131732,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,252,3955,1673,257,252,257,1.0,0.65,0.65,8,98.0,2.321658964314098,5,0.019455252918287938,#add055,0.6784314,0.8156863,0.33333334,78.77676204888786,-29.105138181120815,55.841353206870046,78.48817597641929,-29.19323567266302,55.54045853300291,10.004825219911767,24.022529598644095,1.0040667441134912,1.907554878862515,0.49913476942353724,117.52902993605073,62.971150509710014,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
16,cym_full_016_cyyy,cym,full,cyyy,cyyy,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,739,5812,2435,754,739,754,1.0,0.65,0.65,8,98.0,1.5180012605669952,15,0.01989389920424403,#a3cb58,0.6392157,0.79607844,0.34509805,76.78179445193409,-31.042942497092383,52.04599341703704,76.74278895654454,-31.0390656055286,51.8791682417035,10.016784694601112,23.342611170014173,0.739872745151547,1.171852492604027,0.3228837448369402,120.81405252932876,60.600740174060974,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
17,cym_full_017_cyy,cym,full,cyy,cyy,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1247,7546,3183,1273,1247,1273,1.0,0.65,0.65,8,98.0,0.9288539620265851,26,0.0204241948153967,#92c460,0.57254905,0.76862746,0.3764706,73.81646960265823,-32.84207999283528,44.24927551188671,73.71800021151063,-32.84976458880759,44.0997922051349,9.982236969118475,22.31177781767874,0.47806048202202484,0.7491916665568369,0.19881083884349635,126.58302814542157,55.105359100387396,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
18,cym_full_018_cycymy,cym,full,cycymy,cycymy,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#b3b662,0.7032679738562092,0.7150326797385621,0.38562091503267976,72.29860338741358,-13.275987293673408,42.141698634153336,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3668,15096,6495,3743,3668,3743,1.0,0.65,0.65,8,98.0,6.992480685785897,75,0.02003740315255143,#96a065,0.5882353,0.627451,0.39607844,63.883938818565056,-13.579144227996165,29.252796790779968,63.803067907754524,-13.172080528271197,29.40195512687629,8.59983884233764,15.39552774870599,3.527681230717175,6.040076561255791,1.744767751076735,114.90072199794326,32.25088026779096,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
19,cym_full_019_cycyy,cym,full,cycyy,cycyy,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1080,7207,3063,1103,1080,1103,1.0,0.65,0.65,8,98.0,2.141038663012404,23,0.02085222121486854,#8bc066,0.54509807,0.7529412,0.4,72.26670785842023,-33.28075632014193,39.81368657886441,72.19459521156399,-33.29150382139505,39.72872337634684,8.995211647369425,19.06770259306397,0.9367702014589392,1.7532142824601888,0.49625052854451707,129.89267057061204,51.891602213081796,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
20,cym_full_020_cy,cym,full,cy,cy,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9dd36e,0.6137254901960785,0.8294117647058823,0.43137254901960786,79.08731311025821,-35.04058229831547,44.36686585857201,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1855,9545,4108,1893,1855,1893,1.0,0.65,0.65,8,98.0,2.153968961814262,38,0.020073956682514528,#7ebb6f,0.49411765,0.73333335,0.43529412,70.26181307784816,-34.07950733952253,31.98727380938586,70.14522341152639,-34.032688595819884,32.47982743931865,8.05636366452387,15.233759063434134,0.6297091293959365,1.6295327353889857,0.5361456904504769,136.81386316665385,46.73968876940873,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271
