region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
24,cnm_full_024_cmcncn,cnm,full,cmcycy,cmcncn,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#6c98b8,0.4215686274509804,0.5954248366013072,0.7202614379084968,60.785519707287364,-6.651888056486033,-21.278013471218003,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,cnm_full_025_cccn,cnm,full,cccy,cccn,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490197,0.7901960784313726,70.084486119623,-25.97462396481376,-17.168556206019183,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,cnm_full_026_ccccn,cnm,full,ccccy,ccccn,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313725,0.7396078431372549,0.8047058823529412,70.93511113290782,-26.976647683873644,-17.917879487656663,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,cnm_full_027_cccccn,cnm,full,cccccy,cccccn,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#47bfd0,0.2797385620915032,0.7470588235294118,0.8143790849673204,71.50757625687217,-27.60612824279657,-18.404991417899552,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,cnm_full_028_c,cnm,full,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,cnm_full_029_cmcn,cnm,full,cmcy,cmcn,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#708eb8,0.44019607843137254,0.5568627450980392,0.7215686274509805,58.28920401802807,0.30062233350253154,-25.272416628076577,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,cnm_full_030_ccmcn,cnm,full,ccmcy,ccmcn,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#659abf,0.3976470588235294,0.6023529411764705,0.7498039215686274,61.2533087088531,-7.070261961154067,-24.830337932177482,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,cnm_full_031_cccmcn,cnm,full,cccmcy,cccmcn,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#5ea1c4,0.369281045751634,0.6326797385620915,0.7686274509803921,63.32482599920904,-11.632163716616795,-24.36768810269465,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
32,cnm_full_032_cccccm,cnm,full,cccccm,cccccm,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,#51abd0,0.31699346405228757,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,"[[0.18333333333333338, 0.08660254037844385], [0.16666666666666669, 0.09622504486493762], [0.08333333333333334, 0.04811252243246881], [0.08333333333333333, 0.0], [0.18333333333333335, 0.0]]",6,5,5,full
33,cnm_full_033_ccccm,cnm,full,ccccm,ccccm,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.33490196078431367,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.225, 0.07216878364870322], [0.18333333333333338, 0.08660254037844384], [0.18333333333333335, 0.0], [0.22499999999999998, 0.0]]",6,5,5,full
