region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
12,cwy_full_012_cwyww,cwy,full,cymyy,cwyww,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#d2e8bf,0.8219607843137255,0.908235294117647,0.7490196078431374,89.34256918159606,-14.427040852017182,17.354887630346294,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,3571,15003,6501,3638,3571,3638,1.0,0.65,0.65,8,98.0,4.658724182138515,67,0.018416712479384277,#a9d2a6,0.6627451,0.8235294,0.6509804,80.2343852919611,-21.64802243605246,17.224529797296604,80.10958271876537,-21.862312525130903,17.536693820195065,7.489001162298127,11.624051873981802,2.2900076374244165,3.9456971466652044,1.1058859261657188,141.49203311281082,27.664441113635196,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
13,cwy_full_013_cwywww,cwy,full,cymyyy,cwywww,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#d8eac8,0.8450980392156864,0.9169934640522875,0.7843137254901961,90.52530880757125,-12.034272627401588,14.403293737764479,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,5395,20740,8838,5505,5395,5505,1.0,0.65,0.65,8,98.0,6.4462133214330155,110,0.019981834695731154,#b1d4b1,0.69411767,0.83137256,0.69411767,81.62229558989557,-18.652927325326583,13.22876730305962,81.53133249178873,-19.215344196749484,14.677476150198403,7.57907277088198,11.155704671166808,3.122163504518957,5.680152737079692,1.6782869094553323,144.6555067643476,22.86770609751696,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
14,cwy_full_014_cwwwww,cwy,full,cyyyyy,cwwwww,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#d6eef1,0.838562091503268,0.931372549019608,0.9444444444444445,92.33996265218572,-7.088921127765824,-4.250371537423181,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,2169,10728,4576,2213,2169,2213,1.0,0.65,0.65,8,98.0,1.9637857322628356,44,0.019882512426570267,#b1cce5,0.69411767,0.8,0.8980392,80.87789814634293,-3.662303159366609,-15.2603714802789,80.88342820490455,-3.7315110958414093,-15.296118363246851,11.615606470264272,16.25855873622076,1.0474354504833774,1.6398289870374212,0.44846851914252756,256.50492701823146,15.69367395313208,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
15,cwy_full_015_cwwww,cwy,full,cyyyy,cwwww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,382,4692,1967,390,382,390,1.0,0.65,0.65,8,98.0,1.6583018171122692,8,0.020512820512820513,#abc8e5,0.6686275,0.78431374,0.8980392,79.33410303422687,-3.457565389633044,-17.5871978669511,79.251312445277,-3.503015668779865,-17.67829889345623,13.043523499408373,18.169763736590372,0.7275730674060726,1.2781974115776216,0.3584231393414386,258.87774628363064,17.923846887174573,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
16,cwy_full_016_cwww,cwy,full,cyyy,cwww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,1014,6825,2923,1035,1014,1035,1.0,0.65,0.65,8,98.0,1.3701403724645587,21,0.020289855072463767,#a3c3e5,0.6392157,0.7647059,0.8980392,77.56221713167236,-3.3111320052642834,-20.118193332394462,77.66780086309308,-3.3199538321235726,-20.168620229673436,14.469479886097568,20.12522435191099,0.5300402082984529,0.9813586548101221,0.27664942791148506,260.65382179985113,20.388852300114554,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
17,cwy_full_017_cww,cwy,full,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1665,8972,3829,1694,1665,1694,1.0,0.65,0.65,8,98.0,1.673122909344519,29,0.017119244391971666,#96bbe4,0.5882353,0.73333335,0.89411765,74.58716944420641,-2.9173480192331014,-24.348067405304352,74.68137053700424,-2.8653093137087717,-24.224819545788147,16.60509470814504,23.752708789566054,0.4745202640234462,0.8847728163451455,0.2731189912255764,263.16748044556505,24.522220654715746,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
18,cwy_full_018_cwcwyw,cwy,full,cycymy,cwcwyw,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#b8e2c4,0.722875816993464,0.8875816993464053,0.7679738562091504,86.39606409906426,-19.527007917737482,10.433311190232297,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,4551,18023,7647,4637,4551,4637,1.0,0.65,0.65,8,98.0,8.244952461193602,86,0.018546474013370715,#90c6b0,0.5647059,0.7764706,0.6901961,75.5822209050069,-22.038841687670175,4.871605897046938,75.70990783977668,-22.14212304187546,6.304306862533595,8.523393520667444,12.41696739472569,3.9124288011302584,7.055479352413359,2.106450561639605,167.53540934782893,22.57084595114528,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
19,cwy_full_019_cwcww,cwy,full,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1431,8539,3639,1455,1431,1455,1.0,0.65,0.65,8,98.0,1.371677211238864,24,0.016494845360824743,#8eb6e3,0.5568628,0.7137255,0.8901961,72.70570214261728,-2.3867984462139225,-26.81038609158255,72.66652521547694,-2.4225723358600257,-26.817943942525797,17.73704480218031,26.04451410047922,0.5358037320707945,1.0011049660657463,0.30173146609969803,264.9126466673773,26.916418952055498,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
20,cwy_full_020_cw,cwy,full,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,2339,11367,4823,2385,2339,2385,1.0,0.65,0.65,8,98.0,0.8700069188975627,46,0.01928721174004193,#83afe2,0.5137255,0.6862745,0.8862745,70.19622003752892,-1.6971065880153624,-30.26968050492933,70.17971052933906,-1.6831299083215743,-30.35431347435585,19.003195028851938,29.360372434994723,0.32832938713944604,0.6365822347954228,0.19103137871183634,266.7910017770771,30.317218352638882,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
21,cwy_full_021_cywcw,cwy,full,cmycy,cywcw,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#acdfba,0.6752941176470589,0.8729411764705881,0.7294117647058824,84.43145903061954,-23.435604256045682,12.706256860713827,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,3715,16424,6959,3791,3715,3791,1.0,0.65,0.65,8,98.0,5.7568456012653995,76,0.020047480875758375,#86c2a8,0.5254902,0.7607843,0.65882355,73.83615282519209,-24.602967537636744,7.038918190948085,73.89730279902665,-24.7776860545884,7.411859400652608,8.29248698375987,12.072364234722153,2.7304257899123243,4.650873098504622,1.4005420433563707,164.0341545326413,25.590083644975984,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwyDSC_4517.tif,cwyDSC_4517.tif,DSC_4517,cwy,capture_number,4517,c,w,y,CMY+neutral,full__cwy__cwyDSC_4517,0.5891980360065466
