region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,cnm_two_color_011_cn,cnm,two_color,cy,cn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#62acb7,0.38431372549019605,0.6725490196078432,0.7176470588235294,66.00354158706689,-19.82881356457683,-13.039772037206943,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,cnm_two_color_012_ccncn,cnm,two_color,ccycy,ccncn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5ab1be,0.3529411764705882,0.6949019607843138,0.7466666666666667,67.59807915308023,-22.52485781531105,-14.773558140756826,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,cnm_two_color_013_ccn,cnm,two_color,ccy,ccn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#55b5c3,0.33202614379084966,0.7098039215686275,0.7660130718954248,68.69021664733687,-24.143039702976267,-15.866622477003634,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,cnm_two_color_014_ccnc,cnm,two_color,ccyc,ccnc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490196,0.7901960784313725,70.08448611962298,-25.97462396481376,-17.168556206019183,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,cnm_two_color_015_ccncc,cnm,two_color,ccycc,ccncc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313726,0.7396078431372548,0.8047058823529412,70.9351111329078,-26.97664768387359,-17.917879487656684,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,cnm_two_color_016_c,cnm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
17,cnm_two_color_017_ccmcc,cnm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color
18,cnm_two_color_018_ccmc,cnm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color
19,cnm_two_color_019_ccm,cnm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color
20,cnm_two_color_020_ccmcm,cnm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color
21,cnm_two_color_021_cm,cnm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color
22,cnm_two_color_022_cmcmm,cnm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color
23,cnm_two_color_023_cmm,cnm,two_color,cmm,cmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915034,46.564317820141355,42.571600369637416,-37.144930571146006,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color
24,cnm_two_color_024_mcmm,cnm,two_color,mcmm,mcmm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#a145a8,0.6303921568627451,0.2696078431372549,0.6568627450980393,45.06263653556892,51.86511691404066,-35.97102947994762,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color
25,cnm_two_color_025_mmcmm,cnm,two_color,mmcmm,mmcmm,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#a83ca4,0.6572549019607843,0.23529411764705882,0.6431372549019608,44.510929531904225,56.86520806107603,-34.69393627011519,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,two_color
26,cnm_two_color_026_m,cnm,two_color,m,m,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,two_color
27,cnm_two_color_027_mmnmm,cnm,two_color,mmymm,mmnmm,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#b83195,0.72,0.19058823529411764,0.5850980392156864,44.918116447875995,62.80487675537733,-25.00603531788006,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,two_color
28,cnm_two_color_028_mmnm,cnm,two_color,mmym,mmnm,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#b53795,0.7088235294117646,0.21372549019607842,0.5843137254901961,45.152474771199074,60.00786555802967,-24.56024123498739,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,two_color
29,cnm_two_color_029_mmn,cnm,two_color,mmy,mmn,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#b04095,0.6901960784313724,0.2522875816993464,0.5830065359477125,45.76549839412049,54.79116553605162,-23.472415052041008,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,two_color
30,cnm_two_color_030_mmnmn,cnm,two_color,mmymy,mmnmn,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#ac4894,0.6752941176470587,0.28313725490196073,0.5819607843137256,46.45421009260702,50.15238958253848,-22.296503628763787,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,two_color
