region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ylm_two_color_011_yl,ylm,two_color,cy,yl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#e3d461,0.892156862745098,0.8313725490196078,0.3803921568627451,84.15520736693792,-8.730104128588545,57.68148747093511,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8575,32603,13926,8750,8575,8750,1.0,0.65,0.65,8,98.0,6.073774164396167,175,0.02,#c3c881,0.7647059,0.78431374,0.5058824,78.82053535634086,-12.917815958694234,35.093363761689304,78.53998168151567,-12.845604252142977,34.94740897373139,9.685235979914628,23.584295379274053,2.3168549053918235,4.1227697161253865,1.1430163092602714,110.20858752801348,37.395376041068815,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
12,ylm_two_color_012_yylyl,ylm,two_color,ccycy,yylyl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#e9d64e,0.9137254901960784,0.8400000000000001,0.3043137254901961,85.02953160322268,-8.794139025000923,66.97830057317569,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5245,23408,9873,5352,5245,5352,1.0,0.65,0.65,8,98.0,5.812471127084527,107,0.01999252615844544,#c9cd78,0.7882353,0.8039216,0.47058824,80.52072843497837,-13.825756106311038,39.848304774381546,80.30830556838023,-13.819784163446819,40.99390980038239,10.334416811441752,27.958597041080036,2.7739606980288363,4.43729053251425,1.1731178248645644,109.1347135850225,42.178654854122556,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
13,ylm_two_color_013_yyl,ylm,two_color,ccy,yyl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#edd841,0.9281045751633986,0.8457516339869281,0.25359477124183005,85.6395345111988,-8.632014537106992,72.49823506851614,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3494,17003,7270,3565,3494,3565,1.0,0.65,0.65,8,98.0,6.8410162361159115,71,0.01991584852734923,#cdd16f,0.8039216,0.81960785,0.43529412,81.72464818662422,-14.774080317904115,46.728946552783455,81.3950350146774,-14.272097477117908,45.057298652308695,9.592841599030654,26.77886363528244,2.196384932207046,4.878235143150379,1.460188666275534,107.54515681807379,49.00885527302973,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
14,ylm_two_color_014_yyly,ylm,two_color,ccyc,yyly,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#f1da31,0.946078431372549,0.8529411764705882,0.19019607843137254,86.4293383471445,-8.224065116570255,78.42019236804148,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2080,11798,5044,2123,2080,2123,1.0,0.65,0.65,8,98.0,8.816491329507862,43,0.02025435704192181,#d4d668,0.83137256,0.8392157,0.40784314,83.44026179579764,-15.262148623972044,53.08204626328581,83.18043161902361,-14.515352826539099,50.547571577851954,9.093912726567655,26.46678760471164,2.0305979507867447,6.2144298699987965,2.008728863608723,106.04100041653555,55.23257024725381,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
15,ylm_two_color_015_yylyy,ylm,two_color,ccycc,yylyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#f4db27,0.9568627450980391,0.8572549019607842,0.15215686274509804,86.91636496560015,-7.881167241053033,81.37129826882345,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2864,14043,5972,2923,2864,2923,1.0,0.65,0.65,8,98.0,8.953858550797388,59,0.020184741703729046,#d9d863,0.8509804,0.84705883,0.3882353,84.48553060613222,-15.331494123208056,57.08850413321092,84.1678764272229,-14.186315488797135,52.74208713500081,8.635028221123262,25.516081544129577,1.5160234824242949,6.801873411652467,2.406983066382043,105.03246525469507,59.11135268472211,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
16,ylm_two_color_016_y,ylm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1183,6973,2961,1208,1183,0,0.0,0.65,0.65,8,98.0,1.4349592763663304,25,0.020695364238410598,#ffe650,1.0,0.9019608,0.3137255,90.98531599242342,-7.564578291850143,72.70652874508907,91.0325219590472,-7.542175994891682,72.62847128905126,3.9623246268828227,16.062932622041856,0.4213925611180942,0.8910820898164747,0.29023573627432253,95.93983233440053,73.09898882265057,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
17,ylm_two_color_017_yymyy,ylm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3299,14047,5945,3363,3299,3363,1.0,0.65,0.65,8,98.0,16.70321372993256,64,0.01903062741599762,#f9b173,0.9764706,0.69411767,0.4509804,77.7770600055597,19.16519915981335,42.84338464058632,77.13459835516153,20.56358080176472,40.050231752838776,13.932457214860188,34.61842004627365,4.99389974791606,13.952540623168979,4.334208187943838,65.89952410998944,46.934640366114856,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
18,ylm_two_color_018_yymy,ylm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2666,11883,5078,2721,2666,2721,1.0,0.65,0.65,8,98.0,13.394793900796747,55,0.020213156927600145,#f6a975,0.9647059,0.6627451,0.45882353,75.57987106722044,22.88868163891067,37.83135468402994,74.96624893423203,24.04714883330735,37.192677680415706,15.49969194527799,35.33342275486151,4.863169755673249,10.57085965159343,3.3293754921456347,58.825272355305685,44.21654830938617,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
19,ylm_two_color_019_yym,ylm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4199,17163,7237,4285,4199,4285,1.0,0.65,0.65,8,98.0,11.126483529720359,86,0.020070011668611436,#f39d7b,0.9529412,0.6156863,0.48235294,72.66328801015803,28.37646421181622,31.032832018634558,72.16734414513321,29.222221804209063,30.261948205578467,16.719729070382098,33.7126113449919,4.6729558862870215,8.702334925900997,2.6280268502160733,47.56016090860874,42.05068827333599,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
20,ylm_two_color_020_yymym,ylm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6303,23387,10007,6432,6303,6432,1.0,0.65,0.65,8,98.0,12.352481695376746,129,0.02005597014925373,#f1937d,0.94509804,0.5764706,0.49019608,70.34276344099104,33.04242509173439,25.92451905427047,70.45194057477934,32.23068630210626,26.81411400860624,16.996144803341974,31.177174649889672,4.6112178038021145,9.75942925972032,3.0965327173264403,38.117121487838745,41.99860169265295,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4580ylm.tif,DSC_4580ylm.tif,DSC_4580,ylm,capture_number,4580,y,l,m,CMY+neutral,two_color__ylm__DSC_4580ylm,0.547112462006079
