region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cwm_full_011_cwmw,cwm,full,cymy,cwmw,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#bab3d7,0.7284313725490196,0.7009803921568628,0.8431372549019609,74.47918026482283,9.614548498335097,-17.335731714531867,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,3292,13164,5583,3359,3292,3359,1.0,0.65,0.65,8,98.0,3.9681752483411517,67,0.019946412622804405,#9c92c7,0.6117647,0.57254905,0.78039217,63.0520880103883,15.099481094372036,-26.11183520288791,62.8287171050748,15.220731539307213,-26.124357875417957,10.223512618471517,15.416968424848031,2.116237513132962,3.2695911906794417,0.9781681611085278,300.0391617099194,30.163260218054596,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
12,cwm_full_012_cwmww,cwm,full,cymyy,cwmww,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#c6c0dd,0.7749019607843137,0.7529411764705883,0.8666666666666668,78.96689370702869,7.522255298444747,-13.738925628616872,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,3455,14863,6385,3525,3455,3525,1.0,0.65,0.65,8,98.0,4.812597137356219,70,0.019858156028368795,#a59bcb,0.64705884,0.60784316,0.79607844,66.49618748705836,13.589636618088596,-22.9854145139039,66.26756379436398,13.724171367878514,-23.137283070186452,11.034091137452007,16.668208854238244,2.868246555248662,4.2007379997701495,1.1461627548454334,300.5927976838615,26.702200354796204,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
13,cwm_full_013_cwmwww,cwm,full,cymyyy,cwmwww,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#cdc9e1,0.8058823529411764,0.7875816993464052,0.8823529411764707,81.93703115192535,6.1809458846764915,-11.378813777452912,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,5248,20584,8680,5353,5248,5353,1.0,0.65,0.65,8,98.0,5.733790748143958,105,0.01961516906407622,#ada4cf,0.6784314,0.6431373,0.8117647,69.26843628539258,12.037817338482471,-20.793823295970903,68.91872120936972,12.683870779776894,-20.82154444073717,11.191422855720715,16.835636113688494,3.253124852790428,5.049082129168264,1.4788425901674198,300.067113566957,24.026904368618347,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
14,cwm_full_014_cwwwww,cwm,full,cyyyyy,cwwwww,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#d6eef1,0.838562091503268,0.931372549019608,0.9444444444444445,92.33996265218572,-7.088921127765824,-4.250371537423181,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,2188,10704,4601,2226,2188,2226,1.0,0.65,0.65,8,98.0,1.753404273228501,38,0.017070979335130278,#b5cee7,0.70980394,0.80784315,0.90588236,81.66284452554352,-3.196415157118382,-15.048919261217652,81.57306690875653,-3.2053990999787683,-15.112743699477303,11.402173213645115,15.676769028242527,0.8183016565977498,1.3462700911468986,0.3844930486272419,258.00849283061893,15.38463651788055,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
15,cwm_full_015_cwwww,cwm,full,cyyyy,cwwww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,402,4691,1995,403,402,403,1.0,0.65,0.65,8,98.0,1.448564114762355,1,0.0024813895781637717,#acc9e6,0.6745098,0.7882353,0.9019608,79.79088073591421,-3.1765853146555334,-17.572766245511495,79.90864632081865,-3.2150351164504056,-17.442756908932953,12.979487683003063,17.93723308043633,0.6790719377530932,1.159760849083424,0.3266269829312358,259.7534366114186,17.857570041320667,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
16,cwm_full_016_cwww,cwm,full,cyyy,cwww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,1000,6864,2901,1016,1000,1016,1.0,0.65,0.65,8,98.0,1.0864214250605233,16,0.015748031496062992,#a4c4e6,0.6431373,0.76862746,0.9019608,77.92434982500299,-3.039961904653554,-20.481302666506515,77.89974324361572,-3.0538921448243546,-20.572666415886808,14.561783894502259,20.250070228259663,0.4371609623166081,0.8027723481224108,0.2569785882619287,261.55744261416294,20.705678624444836,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
17,cwm_full_017_cww,cwm,full,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1681,8917,3862,1715,1681,1715,1.0,0.65,0.65,8,98.0,1.1161930767717443,34,0.019825072886297375,#96bbe5,0.5882353,0.73333335,0.8980392,74.62246378729932,-2.67978863344992,-24.542693751924816,74.73598555044444,-2.7589434055547812,-24.670316577410386,16.742402925093117,23.97321977216764,0.360294122419565,0.7657758658488426,0.21950423399471874,263.7686250982038,24.688561799358357,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
18,cwm_full_018_cwcwmw,cwm,full,cycymy,cwcwmw,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#aec1dd,0.6836601307189542,0.7581699346405228,0.8660130718954249,77.59953072936942,-0.6299630245041321,-15.875421590489758,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,4527,18073,7645,4620,4527,4620,1.0,0.65,0.65,8,98.0,6.728704515788401,93,0.02012987012987013,#919dcf,0.5686275,0.6156863,0.8117647,65.45188010599732,7.787539460525572,-27.068929782448926,64.77920309801172,8.476199115235,-27.21438469871419,11.534835776540138,18.539535846305615,2.813595815429099,5.401345447223141,1.6207646256695327,286.05015241617195,28.166872925768548,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
19,cwm_full_019_cwcww,cwm,full,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1424,8463,3632,1450,1424,1450,1.0,0.65,0.65,8,98.0,1.4005469634096128,26,0.01793103448275862,#90b7e4,0.5647059,0.7176471,0.89411765,73.15157726228414,-2.382698582677145,-26.715289610251336,73.19932117001554,-2.3105773837637065,-26.686521705293497,17.54534246292283,25.746239871807095,0.434467470219263,0.9490977193616814,0.3117419367536961,264.90335650832645,26.821333887327352,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
20,cwm_full_020_cw,cwm,full,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,2339,11327,4831,2379,2339,2379,1.0,0.65,0.65,8,98.0,0.6999048116096371,40,0.016813787305590584,#83b0e4,0.5137255,0.6901961,0.89411765,70.50746746422386,-1.67635225687629,-30.731775037573694,70.5094695372596,-1.624278160826985,-30.607283198410666,18.934131928471643,29.51514118664371,0.30640592979666265,0.5402295122908192,0.15252841879169884,266.877732692082,30.77746178373343,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
21,cwm_full_021_cmwcw,cwm,full,cmycy,cmwcw,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#a0b7d8,0.628235294117647,0.7176470588235294,0.8470588235294118,73.75117467517055,-0.4738970504483686,-19.16096549651318,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,3656,16315,6912,3731,3656,3731,1.0,0.65,0.65,8,98.0,5.541467069888218,75,0.020101849370142054,#8a96cc,0.5411765,0.5882353,0.8,62.97606967550464,8.40862752433791,-29.109788208720676,62.43580406502835,9.004074442245573,-29.253543545603907,10.292745054330203,17.145880086319366,2.175642092214792,4.550262423606058,1.3373931427621621,286.1118434602165,30.299913966868395,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
22,cwm_full_022_ccwcw,cwm,full,ccycy,ccwcw,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#85dae6,0.5207843137254902,0.8549019607843137,0.9019607843137255,82.2833002416743,-22.74293603831096,-13.98008971986997,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full,1440,8542,3618,1469,1440,1469,1.0,0.65,0.65,8,98.0,1.4769531804439122,29,0.019741320626276378,#7dabe3,0.49019608,0.67058825,0.8901961,68.7726110318347,-0.9911480946048212,-32.497903359066214,68.92258575124558,-1.0132304182809009,-32.495100383380205,19.670201588553173,31.6004497380787,0.38697367065565225,0.9629327274642883,0.328711536249967,268.25308715962274,32.51301427552736,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
23,cwm_full_023_ccw,cwm,full,ccy,ccw,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#78d7e4,0.47189542483660135,0.8431372549019608,0.8954248366013072,80.86869976537044,-24.584811857946644,-15.26882688076956,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full,1673,8894,3864,1698,1673,1698,1.0,0.65,0.65,8,98.0,1.3433141488402467,25,0.014723203769140165,#79a8e2,0.4745098,0.65882355,0.8862745,67.69418929136518,-0.6126772816130166,-33.72558932304517,67.76139432016296,-0.62477276657608,-33.910007981057994,20.115351482636576,32.9982278649342,0.33735655111949076,0.8277877979057827,0.2643516678880451,268.9592483862499,33.73115397726712,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cwmDSC_4519.tif,cwmDSC_4519.tif,DSC_4519,cwm,capture_number,4519,c,w,m,CMY+neutral,full__cwm__cwmDSC_4519,0.5913272010512484
