region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cgm_full_011_cgmg,cgm,full,cymy,cgmg,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#4f988e,0.3107843137254902,0.5950980392156863,0.5568627450980392,58.036864538995715,-25.171779471318988,-1.891617884141339,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2669,11093,4740,2724,2669,2724,1.0,0.65,0.65,8,98.0,4.561842064747131,55,0.020190895741556535,#7fa698,0.49803922,0.6509804,0.59607846,64.96802280041251,-16.33841234925859,2.330740278428145,65.29295103030731,-16.104597452482526,2.353069061646793,8.455594504508891,11.995734158896697,2.7582432437323856,3.921987204705861,0.9167295976442354,171.88130302828768,16.503819810573944,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
12,cgm_full_012_cgmgg,cgm,full,cymyy,cgmgg,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#46a085,0.27372549019607845,0.6258823529411764,0.5231372549019608,59.88921154498536,-33.364988488218785,5.628881704631916,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2785,12706,5435,2841,2785,2841,1.0,0.65,0.65,8,98.0,4.731575083161584,56,0.019711369236184443,#7faa92,0.49803922,0.6666667,0.57254905,65.94971745978738,-20.139158097374988,7.298834906903107,66.41724105089725,-19.869694791040008,7.200549319182392,8.39046334794933,14.643806375682978,2.769825633002988,4.075596404511649,1.1572518167278691,160.07846765112026,21.420986902318294,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
13,cgm_full_013_cgmggg,cgm,full,cymyyy,cgmggg,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#40a580,0.24901960784313726,0.64640522875817,0.5006535947712418,61.19531025096427,-38.45126068116428,10.675703893144807,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4284,17336,7390,4371,4284,4371,1.0,0.65,0.65,8,98.0,4.4246152929754885,87,0.01990391214824983,#7db08f,0.49019608,0.6901961,0.56078434,67.29374774072028,-23.66572130386374,10.503685229019254,67.4380817397309,-23.098772259176762,10.180269630410312,8.193654047327053,15.994771174198581,2.5268294934164977,3.920265149522208,1.0514429111302215,156.0666565958977,25.891963390644353,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
14,cgm_full_014_cggggg,cgm,full,cyyyyy,cggggg,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#24c177,0.14248366013071895,0.7549019607843137,0.46732026143790845,69.20760059093529,-55.532395145979685,26.201440610570415,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1652,8955,3805,1686,1652,1686,1.0,0.65,0.65,8,98.0,4.307861160031348,34,0.020166073546856466,#72cc92,0.44705883,0.8,0.57254905,75.50612600897188,-39.872649879756025,20.17123071219621,75.75220918425129,-39.17084968696991,19.22215134741271,6.880227495055269,17.92379635186468,1.2211916998804067,3.6388376591077995,1.0812854246015584,153.16554374880866,44.68452480309325,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
15,cgm_full_015_cgggg,cgm,full,cyyyy,cgggg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,272,3921,1711,277,272,277,1.0,0.65,0.65,8,98.0,3.1527046808655075,5,0.018050541516245487,#71cb96,0.44313726,0.79607844,0.5882353,75.10042504387059,-38.744799955390874,17.831329053801326,75.19082619407011,-38.435917376401825,17.563986929979663,6.7746294672540115,18.186728813121057,1.6462282796292314,2.7840978091405026,0.82619819358455,155.28692631265687,42.65109400013317,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
16,cgm_full_016_cggg,cgm,full,cyyy,cggg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,771,5685,2487,787,771,787,1.0,0.65,0.65,8,98.0,2.876445071134965,16,0.020330368487928845,#72ca9d,0.44705883,0.7921569,0.6156863,75.09001467719735,-36.848367155351724,14.421821863283867,75.12788621010361,-36.818442534803836,14.421053152755828,7.0032296747137055,18.903910553833718,1.288579904537119,2.0788170362596032,0.619987406815446,158.62547332463726,39.570078441568654,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
17,cgm_full_017_cgg,cgm,full,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1246,7513,3179,1270,1246,1270,1.0,0.65,0.65,8,98.0,2.3967147298114413,24,0.01889763779527559,#70c8a3,0.4392157,0.78431374,0.6392157,74.4144884180788,-34.69327793235583,10.061428578195098,74.38378936580175,-34.72432019292356,9.905477283474932,6.79092835276504,18.47082797328112,1.140815053242868,1.9122301677008955,0.5243825797076502,163.8272651824501,36.1227889112373,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
18,cgm_full_018_cgcgmg,cgm,full,cycymy,cgcgmg,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#44a694,0.26601307189542484,0.6522875816993464,0.5797385620915033,62.2938489256923,-33.300461922228905,0.9876508179321064,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3633,15026,6432,3708,3633,3708,1.0,0.65,0.65,8,98.0,6.421683397989366,75,0.020226537216828478,#79b2a4,0.4745098,0.69803923,0.6431373,68.45687008607996,-21.451535988442906,1.4842992300515334,67.56501388048596,-20.709713673490697,1.7108569046653144,7.503834886983391,13.365123839792625,2.4574968111348716,5.548532539500223,1.550185531977219,176.0418336286848,21.502826336735193,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
19,cgm_full_019_cgcgg,cgm,full,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1060,7112,3028,1082,1060,1082,1.0,0.65,0.65,8,98.0,3.1238531986652536,22,0.02033271719038817,#70c6aa,0.4392157,0.7764706,0.6666667,73.91824992366197,-32.82460236826201,6.447911781751081,73.80591266106774,-32.91233047370685,6.312456977587337,6.8019293016192695,18.26914835754777,1.3888039310275477,2.580329644063912,0.7500696954643359,168.8865863048071,33.45190707537848,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
20,cgm_full_020_cg,cgm,full,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1809,9459,4031,1846,1809,1846,1.0,0.65,0.65,8,98.0,1.406540878227454,37,0.020043336944745395,#6dc3b2,0.42745098,0.7647059,0.69803923,73.18928335818676,-29.889318942602326,0.015174246045157602,73.1537447922343,-29.964106031019544,0.13876337519023887,7.4760140780787046,18.408596225780798,0.5021759488648571,1.0258675116362896,0.2998149462493296,179.97091201098783,29.889322794441988,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
21,cgm_full_021_cmgcg,cgm,full,cmycy,cmgcg,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#4ba19e,0.29411764705882354,0.6329411764705882,0.6180392156862745,61.288777286455314,-26.840258973581776,-5.954007937507622,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,2864,13750,5797,2922,2864,2922,1.0,0.65,0.65,8,98.0,6.824834482186621,58,0.019849418206707735,#7cadac,0.4862745,0.6784314,0.6745098,67.35814398615084,-15.57523583584114,-5.165100825480362,66.48983009280633,-15.369308460362655,-5.119491337138523,8.167409345255027,12.820309390206306,2.428757775987508,5.272212820292299,1.5470494482172796,198.34668963674648,16.40933386458597,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
22,cgm_full_022_ccgcg,cgm,full,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full,1084,7124,3015,1101,1084,1101,1.0,0.65,0.65,8,98.0,3.6528853526382528,17,0.015440508628519528,#6dc0bb,0.42745098,0.7529412,0.73333335,72.40974507098207,-26.452519441134413,-5.886548197033736,72.39752508002724,-26.222941086082148,-5.718079052483274,8.679639015741511,18.771867126702595,1.4997382960724703,2.668070133534294,0.8080638725113205,192.54575362437473,27.099579968324143,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
23,cgm_full_023_ccg,cgm,full,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full,1249,7463,3212,1274,1249,1274,1.0,0.65,0.65,8,98.0,3.4240781445014634,25,0.019623233908948195,#6dbdc0,0.42745098,0.7411765,0.7529412,71.90201355876309,-23.67928588069823,-9.627158914945433,71.92632099602078,-23.445077834964508,-9.73627128366213,9.74777049136952,19.376520712010592,1.2495014190474525,2.6343204177437443,0.7922440058377547,202.12491745568622,25.56150951320066,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
