region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
18,cny_full_018_cncnyn,cny,full,cycymy,cncnyn,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#83af92,0.5130718954248366,0.6875816993464053,0.5738562091503266,67.78887836153676,-20.946288987634677,10.091843697928592,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3562,15058,6355,3635,3562,3635,1.0,0.65,0.65,8,98.0,12.725786547427134,73,0.020082530949105913,#798f90,0.4745098,0.56078434,0.5647059,57.66693433076351,-7.8487608596352345,-2.41586824994805,57.60506447051186,-8.225456137517297,-0.666482500235704,15.323581541783916,20.74709262033837,5.54657750803986,10.921226277715036,2.9837425664952213,197.1084965438392,8.212153580690577,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
19,cny_full_019_cncnn,cny,full,cycyy,cncnn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#6aa6b0,0.4156862745098039,0.6501960784313725,0.688627450980392,64.46812932089617,-16.796039102735804,-11.181586272020706,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1048,7147,3013,1069,1048,1069,1.0,0.65,0.65,8,98.0,5.625893937202167,21,0.019644527595884004,#738899,0.4509804,0.53333336,0.6,55.534229852626424,-4.031676904533238,-11.114715713252865,55.36826229584176,-3.9162020872126466,-10.856027661233934,13.455488241034415,15.580371423932196,1.8324080605940116,4.168815672054345,1.288999085163626,250.06260838588702,11.82333810939097,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
20,cny_full_020_cn,cny,full,cy,cn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#62acb7,0.38431372549019605,0.6725490196078432,0.7176470588235294,66.00354158706689,-19.82881356457683,-13.039772037206943,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1819,9511,4056,1856,1819,1856,1.0,0.65,0.65,8,98.0,3.6314919301122406,37,0.01993534482758621,#708b9f,0.4392157,0.54509807,0.62352943,56.56348796823019,-4.88682645684907,-13.22820977873187,56.69196897662637,-4.857436565853596,-13.307081593123515,14.18520236634746,17.67521145096843,1.269499761964771,2.4009567092975286,0.7466185806395055,249.7245285279469,14.102007189386109,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
21,cny_full_021_cyncn,cny,full,cmycy,cyncn,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#81b692,0.5074509803921569,0.7129411764705882,0.5741176470588234,69.58262829173592,-24.646671732554026,12.579912491891676,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,2850,13741,5786,2909,2850,2909,1.0,0.65,0.65,8,98.0,10.273863237175009,59,0.020281883808869028,#7b9792,0.48235294,0.5921569,0.57254905,60.13835653474849,-11.613533094025435,0.22136945856554568,60.50720926295808,-11.735502811236467,0.7441369266691392,13.311495091617095,20.292623233517915,3.642576406915247,6.941363211700832,1.9697321208203933,178.90799812608054,11.615642701254615,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
22,cny_full_022_ccncn,cny,full,ccycy,ccncn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5ab1be,0.3529411764705882,0.6949019607843138,0.7466666666666667,67.59807915308023,-22.52485781531105,-14.773558140756826,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full,1110,7138,3077,1133,1110,1133,1.0,0.65,0.65,8,98.0,4.141739028509772,23,0.02030008826125331,#7090a9,0.4392157,0.5647059,0.6627451,58.43118742328522,-5.172973416758653,-16.488097716452522,58.548050141504916,-5.305603977756344,-16.535086164585476,14.658426575343272,19.699224404101223,1.7572860193805762,3.3476979413610795,0.9412176915722608,252.58127982171897,17.280538772786528,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
23,cny_full_023_ccn,cny,full,ccy,ccn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#55b5c3,0.33202614379084966,0.7098039215686275,0.7660130718954248,68.69021664733687,-24.143039702976267,-15.866622477003634,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full,1255,7481,3224,1281,1255,1281,1.0,0.65,0.65,8,98.0,4.492931662060547,26,0.02029664324746292,#7195b2,0.44313726,0.58431375,0.69803923,60.049748417622254,-5.422935834668907,-19.198813373340016,60.000262337666875,-5.444726968514023,-19.206591144774382,14.710276636265707,20.88548482172609,1.606754789482618,2.6996581187075286,0.8340912194465249,254.22702869858722,19.95000421080847,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
24,cny_full_024_cycncn,cny,full,cmcycy,cycncn,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#76b99f,0.46078431372549017,0.7248366013071895,0.6222222222222222,70.13010764797498,-27.282542049746393,6.569518652695394,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full,3414,15067,6416,3482,3414,3482,1.0,0.65,0.65,8,98.0,10.23441295770117,68,0.019529006318207927,#789c98,0.47058824,0.6117647,0.59607846,61.57557653287651,-13.181009992878801,-2.8114183162948336,61.777462591908225,-13.578772617822926,-1.7808501464038458,12.559241083524673,18.974593206870594,5.114085205711049,8.273727746974137,2.372864829438446,192.04036957890105,13.477503380877664,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
25,cny_full_025_cccn,cny,full,cccy,cccn,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490197,0.7901960784313726,70.084486119623,-25.97462396481376,-17.168556206019183,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full,750,5794,2461,766,750,766,1.0,0.65,0.65,8,98.0,4.715752226169093,16,0.020887728459530026,#709bc1,0.4392157,0.60784316,0.75686276,62.302380555210775,-5.1751656592967095,-24.006871848909107,62.20501808249362,-5.136280426932895,-23.624626795282207,15.22313232341447,23.236634731612725,1.797376419155376,3.262153205776655,1.0242285200828811,257.8348980425921,24.558343502180854,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
26,cny_full_026_ccccn,cny,full,ccccy,ccccn,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313725,0.7396078431372549,0.8047058823529412,70.93511113290782,-26.976647683873644,-17.917879487656663,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full,272,3969,1678,278,272,278,1.0,0.65,0.65,8,98.0,3.9409579440037033,6,0.02158273381294964,#71a0cb,0.44313726,0.627451,0.79607844,64.19394177256174,-4.327073483257116,-26.842636137030908,63.773932495303654,-4.427733358881298,-26.432190256297908,15.84481879969757,25.260598905502068,1.4819358635714222,3.270711510459164,0.8419731104828835,260.84261257698006,27.189164748379905,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
27,cny_full_027_cccccn,cny,full,cccccy,cccccn,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#47bfd0,0.2797385620915032,0.7470588235294118,0.8143790849673204,71.50757625687217,-27.60612824279657,-18.404991417899552,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full,1496,8937,3801,1526,1496,1526,1.0,0.65,0.65,8,98.0,6.430575817101579,30,0.019659239842726082,#71a3d0,0.44313726,0.6392157,0.8156863,65.14679945038213,-4.035452928750543,-28.06185427880183,64.11255502951106,-4.224344292450222,-27.60715214636906,16.13405000644923,26.25435614629378,1.347948753474192,4.639364286262572,1.590159848920615,261.81664671763434,28.350529905186427,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
28,cny_full_028_c,cny,full,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full,631,4802,2035,642,631,642,1.0,0.65,0.65,8,98.0,1.298877332439193,11,0.017133956386292833,#7daae8,0.49019608,0.6666667,0.9098039,68.66172884974006,1.0962110494619481,-35.82869305743077,68.63942132660969,1.107050910439018,-35.6949287913021,19.93147659326305,35.34565688227428,0.45348197375387006,1.0290347986246562,0.3249360678504439,271.75246914612484,35.84545891558023,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
29,cny_full_029_cycn,cny,full,cmcy,cycn,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#7fc093,0.49901960784313726,0.7509803921568627,0.5745098039215686,72.29565771608738,-30.034383053115565,16.30949521475953,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full,2197,11028,4719,2241,2197,2241,1.0,0.65,0.65,8,98.0,5.757937666929043,44,0.01963409192324855,#7aa597,0.47843137,0.64705884,0.5921569,64.31246960249663,-16.804453157216958,1.2853642563292356,64.18216896133883,-17.350546109088594,2.2262223482915617,12.329501159679152,21.551956954379616,2.4478669396751163,4.405911893746013,1.2650202570508546,175.62599133601339,16.853539900701804,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
30,cny_full_030_ccycn,cny,full,ccmcy,ccycn,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#71c1a1,0.4447058823529412,0.7576470588235293,0.6321568627450981,72.45766669430829,-31.91823120033782,8.49655893741177,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full,2438,12556,5382,2488,2438,2488,1.0,0.65,0.65,8,98.0,9.179921338820915,50,0.02009646302250804,#78aaa1,0.47058824,0.6666667,0.6313726,65.95782031396749,-17.429723749349396,-3.184621733035675,65.7014288282068,-17.914117375744716,-2.2492220123495796,11.702987675609874,19.71331613354312,4.139502298348827,6.814448975907667,1.8429129266175934,190.35441839703807,17.718269824143594,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cnyDSC_4536.tif,cnyDSC_4536.tif,DSC_4536,cny,capture_number,4536,c,n,y,CMY+neutral,full__cny__cnyDSC_4536,0.5408653846153846
