region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,clm_two_color_011_cl,clm,two_color,cy,cl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#81c9cf,0.5058823529411764,0.7862745098039216,0.8117647058823529,76.50296436848879,-20.676899839808417,-10.321095386057056,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8155,31826,13415,8321,8155,8321,1.0,0.65,0.65,8,98.0,6.723654805347837,166,0.01994952529744021,#95afc6,0.58431375,0.6862745,0.7764706,70.05815755996012,-3.552219057738615,-14.83023983929186,70.61370464387574,-3.6247075802232205,-14.710231180681223,14.900920711777855,18.844697142357752,2.9132439460037527,4.979217050019325,1.4433350413109143,256.5299813389095,15.249730290240574,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
12,clm_two_color_012_cclcl,clm,two_color,ccycy,cclcl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#73c8d2,0.45019607843137255,0.7858823529411765,0.8219607843137254,75.91892577141277,-23.486585930190984,-12.664493303691327,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5054,22649,9627,5155,5054,5155,1.0,0.65,0.65,8,98.0,6.81401261927931,101,0.01959262851600388,#8dadcd,0.5529412,0.6784314,0.8039216,69.40088485526657,-3.96677368753548,-17.57614619267771,70.23660652401433,-3.940981905389006,-18.1856002381004,15.33791894364037,21.157321698999805,3.218162158406989,5.641561293265205,1.584186309569499,257.2819518492652,18.018218793057848,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
13,clm_two_color_013_ccl,clm,two_color,ccy,ccl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#69c8d3,0.41307189542483663,0.7856209150326797,0.8287581699346406,75.57752358876611,-25.127508791505605,-14.151564442941812,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3281,16449,6971,3346,3281,3346,1.0,0.65,0.65,8,98.0,8.101168481258211,65,0.019426180514046622,#87accf,0.5294118,0.6745098,0.8117647,69.013851121585,-4.15334417512031,-21.085561150358068,69.86411563488439,-3.908202886814355,-20.266688944135993,15.670975271758355,23.045122866891376,2.98612421345233,6.9025155052939295,2.016370302152239,258.85677640375985,21.490722576556035,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
14,clm_two_color_014_cclc,clm,two_color,ccyc,cclc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#5ec8d6,0.3666666666666667,0.7852941176470588,0.8372549019607843,75.20410346817063,-26.903791665477627,-15.926264019264202,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1989,11518,4903,2030,1989,2030,1.0,0.65,0.65,8,98.0,9.284093003868549,41,0.02019704433497537,#7fabd4,0.49803922,0.67058825,0.83137256,68.4377836962783,-4.0715798374421635,-24.63842921532846,69.38684946156638,-3.7136738024451064,-23.585986872592926,16.233769724247544,25.35734218366146,2.461320117506984,7.617952754435225,2.3278479711287043,260.6164913973048,24.972584098795554,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
15,clm_two_color_015_cclcc,clm,two_color,ccycc,cclcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#56c8d7,0.33882352941176475,0.7850980392156862,0.8423529411764706,75.00808609551619,-27.818736517711272,-16.94665722176596,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2758,13572,5815,2815,2758,2815,1.0,0.65,0.65,8,98.0,10.705258041310818,57,0.02024866785079929,#7ba9d6,0.48235294,0.6627451,0.8392157,67.68347839658531,-3.48550061996894,-27.01008396111012,69.07398113293257,-3.240325531587751,-25.37617303491195,17.013830417180877,27.33182769111061,2.0272071664080005,8.563744109536541,2.790785844797282,262.64693522309847,27.234047627152705,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
16,clm_two_color_016_c,clm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1108,6761,2842,1131,1108,1131,1.0,0.65,0.65,8,98.0,1.866417488011871,23,0.020335985853227233,#7eace8,0.49411765,0.6745098,0.9098039,69.26086251940139,0.4717888394070724,-34.98324050724564,69.17602802606288,0.47990465231603974,-35.06559616401174,19.452595798713308,34.33740354020975,0.6428763401225605,1.342661536321602,0.4350500458150825,270.77265199885863,34.98642166750954,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
17,clm_two_color_017_ccmcc,clm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3188,13540,5789,3254,3188,3254,1.0,0.65,0.65,8,98.0,11.011609549358411,66,0.020282728948985862,#7e99d8,0.49411765,0.6,0.84705883,63.86145728925075,5.962933678232751,-34.35039694657209,63.24913557265943,8.479280245975971,-34.37018451443276,12.278954141985627,19.38801711171164,3.4248293929900884,9.753816612978312,3.1140796333384064,279.8479184822071,34.86411261509565,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
18,clm_two_color_018_ccmc,clm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2614,11541,4982,2667,2614,2667,1.0,0.65,0.65,8,98.0,9.214023781811067,53,0.01987251593550806,#7f92d3,0.49803922,0.57254905,0.827451,62.15248823177168,9.77999234236937,-34.62597000678893,61.68806249870058,11.212521366059486,-34.77050477992584,11.391055665456367,17.691427508116572,4.685134596025201,7.928739512106828,2.1965746679257,285.772159870042,35.98063436249909,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
19,clm_two_color_019_ccm,clm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4069,16597,7043,4153,4069,4153,1.0,0.65,0.65,8,98.0,7.491494275179642,84,0.02022634240308211,#878acd,0.5294118,0.5411765,0.8039216,59.760698114108806,15.91296774938339,-34.70441841339491,59.55882239527329,15.911016924195572,-34.727956298950026,9.551362471563511,14.267341375567359,4.208607861831239,6.081567177253422,1.3931298942038863,294.6328089438047,38.17877944624343,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
20,clm_two_color_020_ccmcm,clm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6058,22819,9693,6180,6058,6180,1.0,0.65,0.65,8,98.0,9.244376993671528,122,0.019741100323624597,#8f85ca,0.56078434,0.52156866,0.7921569,59.00841417229968,20.25424539499532,-33.89324829275104,58.92340280414616,18.545677361505632,-34.01264863657914,8.251417673129744,11.164575461606844,3.590084518176077,8.211116839442107,2.3104935746552644,300.8620911058206,39.4840060829035,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4584clm.tif,DSC_4584clm.tif,DSC_4584,clm,capture_number,4584,c,l,m,CMY+neutral,two_color__clm__DSC_4584clm,0.5390835579514824
