region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
41,cky_full_041_cyy,cky,full,cmm,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.7083333333333331, 0.07216878364870336], [0.6833333333333338, 0.08660254037844362], [0.6583333333333332, 0.09141379262169061], [0.6333333333333334, 0.07698003589195007], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,5,5,full
42,cky_full_042_cycyky,cky,full,cmcmym,cycyky,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.14433756729740643,#96b64d,0.5888888888888889,0.711764705882353,0.3006535947712418,69.6700968500685,-26.722291700774782,48.914341219957876,"[[0.6583333333333332, 0.09141379262169057], [0.6416666666666665, 0.15877132402714716], [0.5583333333333332, 0.20688384645961586], [0.5166666666666666, 0.0866025403784439], [0.55, 0.06735753140545633], [0.6333333333333334, 0.07698003589195007]]",6,5,5,full
43,cky_full_043_cyyy,cky,full,cmmm,cyyy,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.7750000000000006, 0.07216878364870336], [0.7083333333333333, 0.07216878364870336], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,5,5,full
44,cky_full_044_cyyyy,cky,full,cmmmm,cyyyy,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#d8da2c,0.8454901960784313,0.8564705882352941,0.17254901960784313,84.52082667829146,-19.591593417616572,77.13877361131732,"[[0.8166666666666662, 0.08660254037844367], [0.7750000000000006, 0.07216878364870337], [0.7750000000000006, 0.0], [0.8166666666666663, 0.0]]",6,5,5,full
45,cky_full_045_cyyyyy,cky,full,cmmmmm,cyyyyy,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0,#dedb25,0.8712418300653595,0.8594771241830065,0.14379084967320263,85.22002960492412,-17.423035804343623,79.69705339328037,"[[0.8333333333333333, 0.0962250448649377], [0.8166666666666662, 0.0866025403784437], [0.8166666666666663, 0.0], [0.9166666666666666, 0.0], [0.9166666666666666, 0.048112522432468836]]",6,5,5,full
46,cky_full_046_y,cky,full,m,y,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.9166666666666667, 0.048112522432468885], [0.9166666666666667, 0.0], [1.0, 0.0], [0.9583333333333334, 0.07216878364870329]]",6,5,5,full
47,cky_full_047_cyky,cky,full,cmym,cyky,0.25,0.25,0.5,0.25,0.25,0.5,0.625,0.21650635094610965,#93a63c,0.5764705882352941,0.6529411764705881,0.23529411764705882,64.94990819902536,-21.967832652584395,51.070249428758096,"[[0.6833333333333332, 0.23094010767585077], [0.6000000000000006, 0.27905263010831916], [0.575, 0.2742413778650722], [0.5499999999999999, 0.23094010767585016], [0.5583333333333332, 0.20688384645961583], [0.6416666666666664, 0.1587713240271472]]",6,5,5,full
48,cky_full_048_cyyky,cky,full,cmmym,cyyky,0.2,0.2,0.6,0.2,0.2,0.6,0.7,0.17320508075688773,#a9b230,0.6611764705882354,0.6972549019607843,0.18823529411764706,69.72954735842042,-19.20041063997868,61.12594343438283,"[[0.766666666666667, 0.23094010767584996], [0.7499999999999998, 0.25018511664883825], [0.6833333333333333, 0.23094010767585071], [0.6416666666666665, 0.15877132402714722], [0.6583333333333332, 0.0914137926216906], [0.6833333333333339, 0.08660254037844359]]",6,5,5,full
49,cky_full_049_cyyyky,cky,full,cmmmym,cyyyky,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.75,0.14433756729740643,#b7b928,0.7176470588235295,0.7267973856209151,0.1568627450980392,72.93079886743749,-17.152445563400786,67.06196143150626,"[[0.8250000000000003, 0.1587713240271464], [0.7916666666666666, 0.21650635094610957], [0.7666666666666672, 0.2309401076758499], [0.6833333333333339, 0.08660254037844357], [0.7083333333333331, 0.07216878364870336], [0.7750000000000006, 0.07216878364870336], [0.8166666666666662, 0.08660254037844367], [0.8333333333333333, 0.09622504486493769], [0.8333333333333333, 0.11547005383792629]]",6,5,5,full
50,cky_full_050_yyyyyk,cky,full,mmmmmy,yyyyyk,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.9166666666666667,0.14433756729740643,#d8bd03,0.8464052287581699,0.7418300653594772,0.013071895424836602,76.70950269694525,-5.56138699410641,77.86378677340021,"[[0.8333333333333334, 0.11547005383792527], [0.8333333333333334, 0.09622504486493769], [0.9166666666666666, 0.0481125224324689], [0.9583333333333333, 0.07216878364870329], [0.9083333333333332, 0.15877132402714716]]",6,5,5,full
51,cky_full_051_yyyyk,cky,full,mmmmy,yyyyk,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#d0b604,0.8156862745098039,0.7152941176470589,0.01568627450980392,74.21597840184782,-5.48163475683433,75.6623751618622,"[[0.8250000000000001, 0.15877132402714667], [0.8333333333333333, 0.11547005383792514], [0.9083333333333332, 0.15877132402714725], [0.8875000000000002, 0.19485571585149836]]",6,5,5,full
52,cky_full_052_yyyk,cky,full,mmmy,yyyk,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#c4ac05,0.7696078431372549,0.6754901960784314,0.0196078431372549,70.4431701097861,-5.360264800353121,72.31357491032786,"[[0.7916666666666665, 0.21650635094610965], [0.8250000000000001, 0.1587713240271467], [0.8875000000000002, 0.19485571585149844], [0.8541666666666666, 0.2525907427704614]]",6,5,5,full
53,cky_full_053_yyk,cky,full,mmy,yyk,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#b19b07,0.69281045751634,0.6091503267973856,0.026143790849673203,64.06203102381075,-5.152249592040081,66.58979098711278,"[[0.7499999999999999, 0.2790526301083193], [0.7499999999999999, 0.25018511664883825], [0.7666666666666673, 0.23094010767584988], [0.7916666666666665, 0.2165063509461097], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,5,5,full
54,cky_full_054_cykyky,cky,full,cmymym,cykyky,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.28867513459481287,#90982b,0.5640522875816993,0.5941176470588235,0.1699346405228758,60.236008892358385,-16.74320554398001,52.95109420804744,"[[0.7499999999999998, 0.2790526301083193], [0.7166666666666667, 0.35603266600026906], [0.6833333333333338, 0.3752776749732563], [0.6000000000000006, 0.27905263010831927], [0.6833333333333333, 0.23094010767585077], [0.7499999999999998, 0.2501851166488382]]",6,5,5,full
