condition,corner_label,region_index,local_stack_token,stack_token,palette_family,n_replicates,source_files,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,max_height,max_run,distinct_lte,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,analysis_scale,f_w,f_l,f_n,f_k,f_o,f_v,f_g
full,cgm,24,cmcycy,cmcgcg,CMY+OVG,1,DSC_4568cgm.tif,0.5,0.3333333333333333,0.16666666666666666,0.5,,0.16666666666666666,0.3333333333333333,0.28867513459481287,0.2830065359477124,0.6581699346405229,0.6588235294117647,63.46886797662506,-27.735113380477905,-8.5662224782733,6.0,5.0,5.0,3398.0,15017.0,6399.0,3466.0,3398.0,3466.0,1.0,0.65,0.65,8.0,98.0,10.137798516846075,68.0,0.019619157530294286,0.47058823704719543,0.686274528503418,0.7019608020782471,67.60111108634706,-17.113770052586965,-8.213255823525056,67.38190305713789,-16.155472428292782,-8.727289937345203,6.7772846062072905,11.402322248829073,3.6938892548625093,8.020865708101447,2.3207442132345806,205.6373219985469,18.98258930271344,0.547112462006079,,,,,,,0.3333333333333333
full,cgm,25,cccy,cccg,CMY+OVG,1,DSC_4568cgm.tif,0.75,0.25,0.0,0.75,,0.0,0.125,0.21650635094610965,0.2019607843137255,0.7754901960784314,0.7441176470588236,72.68987247128358,-38.88855397306784,-6.912150447912335,6.0,5.0,5.0,757.0,5685.0,2468.0,772.0,757.0,772.0,1.0,0.65,0.65,8.0,98.0,4.070518204629317,15.0,0.019430051813471502,0.4274509847164154,0.7254902124404907,0.7882353067398071,71.12517802753756,-19.054512257280386,-15.216687022417785,71.20839756306086,-19.2297678191941,-15.18187288135663,11.965449659297734,21.55928586950842,1.9270093656538345,3.3916466667622567,0.9590167562698875,218.61041129294318,24.38487238640109,0.547112462006079,,,,,,,0.25
full,cgm,26,ccccy,ccccg,CMY+OVG,1,DSC_4568cgm.tif,0.8,0.2,0.0,0.8,,0.0,0.1,0.17320508075688773,0.20705882352941174,0.7772549019607843,0.7678431372549019,73.02584082700399,-37.2278554452658,-9.700027346092321,6.0,5.0,5.0,267.0,3953.0,1676.0,273.0,267.0,273.0,1.0,0.65,0.65,8.0,98.0,5.890125509410434,6.0,0.02197802197802198,0.4470588266849518,0.7137255072593689,0.8156862854957581,70.5118653674362,-14.702561411030935,-20.14842669688153,70.50950367416613,-14.90913514702505,-19.818852533244517,14.37202907977254,24.957523774076993,1.891714342606296,4.124268282942053,1.27159421247839,233.88129850840465,24.94242190335061,0.547112462006079,,,,,,,0.2
full,cgm,27,cccccy,cccccg,CMY+OVG,1,DSC_4568cgm.tif,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,,0.0,0.08333333333333333,0.14433756729740643,0.21045751633986928,0.7784313725490195,0.7836601307189545,73.25301115855225,-36.10518063805268,-11.55085015663213,6.0,5.0,5.0,1530.0,8927.0,3840.0,1561.0,1530.0,1561.0,1.0,0.65,0.65,8.0,98.0,5.425668874993321,31.0,0.01985906470211403,0.45098039507865906,0.7058823704719543,0.8274509906768799,70.13686465870474,-12.512623683297587,-22.44163517208606,69.99783168197052,-13.096229541487666,-21.85101884493414,15.092835441196375,26.171135071385628,2.163226557571401,4.706540951122754,1.3944444647031253,240.85758302778237,25.694216093059342,0.547112462006079,,,,,,,0.16666666666666666
full,cgm,28,c,c,CMY+OVG,1,DSC_4568cgm.tif,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,6.0,5.0,5.0,643.0,4830.0,2050.0,655.0,643.0,655.0,1.0,0.65,0.65,8.0,98.0,1.2285852316447543,12.0,0.0183206106870229,0.49803921580314636,0.6745098233222961,0.9098039269447327,69.35601093066421,0.8854126522764294,-35.22758432437736,69.23361310054916,0.8603418437759953,-35.134260839544766,19.682373774958386,34.796107568944635,0.3493566651427815,0.764009762106251,0.25186492685220846,271.4397731387153,35.23870958045894,0.547112462006079,,,,,,,0.0
full,cgm,29,cmcy,cmcg,CMY+OVG,1,DSC_4568cgm.tif,0.5,0.25,0.25,0.5,,0.25,0.375,0.21650635094610965,0.33627450980392154,0.6039215686274509,0.6754901960784314,59.94656642324837,-16.51150455858813,-16.2019417858845,6.0,5.0,5.0,2166.0,11012.0,4672.0,2210.0,2166.0,2210.0,1.0,0.65,0.65,8.0,98.0,6.492073307880431,44.0,0.019909502262443438,0.48627451062202454,0.6470588445663452,0.7098039388656616,65.53449688358313,-9.952348099161789,-13.186913180049963,65.08317158672467,-9.630634667662513,-13.04717726770597,6.6878339860512925,9.128959293521463,3.04968994601106,5.202403715358326,1.579577189297686,232.95763375702208,16.521014251705758,0.547112462006079,,,,,,,0.25
full,cgm,30,ccmcy,ccmcg,CMY+OVG,1,DSC_4568cgm.tif,0.6,0.2,0.2,0.6,,0.2,0.30000000000000004,0.17320508075688773,0.31450980392156863,0.64,0.7129411764705883,62.79902193323575,-19.816248735099517,-17.27705025997446,6.0,5.0,5.0,2463.0,12619.0,5421.0,2514.0,2463.0,2514.0,1.0,0.65,0.65,8.0,98.0,6.276814712456159,51.0,0.02028639618138425,0.47843137383461,0.6549019813537598,0.7529411911964417,66.00595678999622,-8.340303951626883,-18.99662823416106,66.00674681053486,-8.1467314203913,-18.595241353882987,8.505776331785498,12.039048478103481,2.814962164766104,4.8494769717364274,1.3097419013461424,246.29654278133867,20.746868541359397,0.547112462006079,,,,,,,0.2
full,cgm,31,cccmcy,cccmcg,CMY+OVG,1,DSC_4568cgm.tif,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,,0.16666666666666666,0.25,0.14433756729740643,0.3,0.6640522875816993,0.7379084967320262,64.71782254197785,-21.84798612165817,-17.93538845981233,6.0,5.0,5.0,4133.0,17265.0,7351.0,4213.0,4133.0,4213.0,1.0,0.65,0.65,8.0,98.0,7.598107102023896,80.0,0.018988844054118204,0.47058823704719543,0.6666666865348816,0.7843137383460999,66.8572635500823,-8.623645310425587,-21.095263357479443,66.56550254060068,-8.173825301456427,-21.273275777812387,9.169944956454374,13.763909585858858,3.8960803879997408,6.667006771421412,1.9323396433972093,247.765484984517,22.78985288591043,0.547112462006079,,,,,,,0.16666666666666666
full,cgm,32,cccccm,cccccm,CMY+OVG,1,DSC_4568cgm.tif,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,,0.16666666666666666,0.16666666666666666,0.0,0.31699346405228757,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,6.0,5.0,5.0,1817.0,9050.0,3795.0,1852.0,1817.0,1852.0,1.0,0.65,0.65,8.0,98.0,4.7397806345692794,35.0,0.018898488120950324,0.49803921580314636,0.6431372761726379,0.8784313797950745,66.85986192347715,3.090090363461029,-34.232940185563756,66.12503697682769,3.759292060993715,-34.679725198525254,12.50046554920797,20.137930120527898,1.423991203572972,4.056698893986048,1.288094977628491,275.15791526432645,34.37212318438796,0.547112462006079,,,,,,,0.0
full,cgm,33,ccccm,ccccm,CMY+OVG,1,DSC_4568cgm.tif,0.8,0.0,0.2,0.8,,0.2,0.2,0.0,0.33490196078431367,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,6.0,5.0,5.0,529.0,4003.0,1726.0,540.0,529.0,540.0,1.0,0.65,0.65,8.0,98.0,4.6491441326587,11.0,0.020370370370370372,0.49803921580314636,0.6352941393852234,0.8705882430076599,66.15000599854612,3.380400834814279,-34.31714461025726,65.58832561596253,3.9043798830215777,-34.474382974319916,10.601557187036969,17.023261478675003,1.497574885821163,3.6251169595378414,1.1104883902291562,275.62575584429874,34.483235405125804,0.547112462006079,,,,,,,0.0
full,cgm,34,cccm,cccm,CMY+OVG,1,DSC_4568cgm.tif,0.75,0.0,0.25,0.75,,0.25,0.25,0.0,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,6.0,5.0,5.0,1109.0,5806.0,2473.0,1129.0,1109.0,1129.0,1.0,0.65,0.65,8.0,98.0,3.939422394981722,20.0,0.01771479185119575,0.501960813999176,0.6235294342041016,0.8627451062202454,65.33684640414793,4.961152908947053,-34.45669945946774,64.94715581517673,5.355671986920182,-34.348495064505556,8.50519851220045,13.454674226056854,2.0885191136735504,3.2359359057754062,1.0148144471118257,278.1932666552633,34.81202631025718,0.547112462006079,,,,,,,0.0
