symmetry_strategy,symmetry_key,replicate_count,symmetry_classes,panel_names,sub_gamut_names,region_indices,labels,stack_tokens,fC_median,fM_median,fY_median,measured_L,measured_a,measured_b,measured_R,measured_G,measured_B,measured_hex,replicate_deltaE00_median,replicate_deltaE00_p90,replicate_deltaE00_max,example_global_label
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.000000_1.000000,3,,panel_04_down,corner_2,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,45.84731895723613,-2.2977963533686863,-3.941274223437663,0.39607844,0.43137255,0.4509804,#656e73,17.903716436499185,41.58169116900005,47.50118485212526,panel_04_down__corner_2::gamut_006_y
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.200000_0.800000,6,,panel_04_down,corner_2,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,49.042880781150124,-13.788575552865003,-0.3089504968777259,0.41176471000000003,0.48627451,0.45294118,#697c74,17.959586234089382,30.876168092051003,31.572524502089,panel_04_down__corner_2::gamut_005_yymyy
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.250000_0.750000,6,,panel_04_down,corner_2,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,51.42795411739717,-14.948105991193618,6.983376499330019,0.4127451,0.5156863,0.43137255,#69846e,21.279867486130954,26.594944420199734,27.919863274572148,panel_04_down__corner_2::gamut_004_ymyy
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.333333_0.666667,6,,panel_04_down,corner_2,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,53.76000855221376,-17.023614270033683,18.20919255838819,0.37058825,0.5450980649999999,0.38039216,#5f8b61,15.663830480259973,30.944910664456437,34.670043873486186,panel_04_down__corner_2::gamut_003_myy
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.400000_0.600000,6,,panel_04_down,corner_2,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,55.55095127458607,-17.576624106313293,25.261244840654186,0.34117648,0.5666667,0.34509805,#579158,11.23905307398381,34.572039423005094,37.08761914554488,panel_04_down__corner_2::gamut_002_mymyy
panel_local_symmetry,panel_04_down|corner_2|mix_0.000000_0.500000_0.500000,3,,panel_04_down,corner_2,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,57.3298594453957,-18.50345717840679,35.322113095997175,0.33333334,0.5921569,0.28235295,#559748,11.09036858991227,32.558230347694895,37.92519578714055,panel_04_down__corner_2::gamut_001_my
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.000000_1.000000,3,,panel_04_down,corner_3,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,43.477636124790976,9.294608477296295,-10.33844484627775,0.36078432,0.37254903,0.5137255,#5c5f83,21.332631580429343,23.345129191127135,23.848253593801584,panel_04_down__corner_3::gamut_006_y
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.200000_0.800000,6,,panel_04_down,corner_3,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,41.17373589901886,14.045365260626845,-19.635742533743183,0.371568635,0.331372565,0.52156865,#5f5585,15.219146697805478,17.6737361043492,19.356065337961226,panel_04_down__corner_3::gamut_005_yymyy
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.250000_0.750000,6,,panel_04_down,corner_3,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,42.34517966844837,16.100605172762606,-20.52730740363075,0.39019609,0.33725490999999996,0.53137258,#645688,13.915715467292593,18.411590060196783,20.04747701290812,panel_04_down__corner_3::gamut_004_ymyy
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.333333_0.666667,6,,panel_04_down,corner_3,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,43.29331360650581,20.560034023771863,-21.222548914636967,0.39803922,0.34509804499999996,0.531372575,#665888,11.160606543210259,20.578838680836093,21.956579684613448,panel_04_down__corner_3::gamut_003_myy
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.400000_0.600000,6,,panel_04_down,corner_3,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,44.003107299490665,22.3844460459873,-20.71118322676095,0.39019608,0.35196079,0.531372565,#645a88,10.901745106479222,21.45845181888241,22.491783066405713,panel_04_down__corner_3::gamut_002_mymyy
panel_local_symmetry,panel_04_down|corner_3|mix_0.000000_0.500000_0.500000,3,,panel_04_down,corner_3,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,43.92527271727992,23.97050749415569,-20.442660143352036,0.38039216,0.34901962,0.54901963,#61598c,11.186867192392134,19.85290685706386,22.019416773231793,panel_04_down__corner_3::gamut_001_my
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.000000_1.000000,3,,panel_05_up,center,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,51.5657922021738,6.172424389854935,-3.893134803579013,0.6156863,0.49019608,0.3647059,#9d7d5d,27.30029073712145,43.566500709770345,47.633053202932565,panel_05_up__center::gamut_006_y
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.200000_0.800000,6,,panel_05_up,center,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,49.17782360286671,16.42334040455583,0.9515966708930561,0.46078434,0.474509825,0.331372565,#767955,31.008048013103696,49.85195319617622,50.2880494141221,panel_05_up__center::gamut_005_yymyy
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.250000_0.750000,6,,panel_05_up,center,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,49.36575720085691,19.786000596465428,6.9652064934975675,0.44117647,0.474509825,0.35294119,#70795a,29.2872050166526,47.608319310067515,50.8790043749596,panel_05_up__center::gamut_004_ymyy
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.333333_0.666667,6,,panel_05_up,center,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,52.42786165265373,25.36384213621895,17.069459420513674,0.38235295,0.42156865,0.38431373,#626c62,33.33527234427202,49.87872072377253,51.490218449654144,panel_05_up__center::gamut_003_myy
panel_local_symmetry,panel_05_up|center|mix_0.000000_0.400000_0.600000,6,,panel_05_up,center,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,54.73134991067735,28.531968876940788,21.51903709203118,0.380392165,0.40588235,0.38235295,#616762,35.90846743275844,51.59286284713308,52.42037294025329,panel_05_up__center::gamut_002_mymyy
